date,timestamp,open,high,low,close,volume
2010-09-13,1284336000,14.176,14.176,11.416,12.195,1091600
2010-09-14,1284422400,12.905,12.905,11.556,11.767,516000
2010-09-15,1284508800,11.977,11.977,11.057,11.197,790000
2010-09-16,1284595200,11.197,11.977,11.127,11.977,930900
2010-09-17,1284681600,12.616,12.616,12.195,12.616,346800
2010-09-20,1284940800,13.466,13.466,12.905,13.256,943300
2010-09-21,1285027200,13.186,13.466,12.546,12.687,1269700
2010-09-22,1285113600,12.546,13.607,12.195,13.256,1621400
2010-09-23,1285200000,13.256,13.256,12.406,12.905,774500
2010-09-24,1285286400,12.827,13.046,12.687,12.757,443200
2010-09-27,1285545600,12.905,12.975,12.546,12.687,611100
2010-09-28,1285632000,12.827,13.115,12.616,12.687,674300
2010-09-29,1285718400,12.406,12.687,11.977,11.977,796100
2010-09-30,1285804800,12.126,12.195,11.767,12.047,513200
2010-10-01,1285891200,12.126,12.195,11.416,11.556,306400
2010-10-04,1286150400,11.556,11.556,10.846,11.057,847100
2010-10-05,1286236800,10.776,11.345,10.566,11.345,469500
2010-10-06,1286323200,11.345,11.696,11.127,11.627,697500
2010-10-07,1286409600,11.416,11.696,11.057,11.057,434700
2010-10-08,1286496000,10.987,11.268,10.846,10.917,380700
2010-10-11,1286755200,10.917,10.987,10.566,10.706,379100
2010-10-12,1286841600,10.636,10.917,10.347,10.418,365000
2010-10-13,1286928000,10.706,10.706,10.277,10.488,234200
2010-10-14,1287014400,10.706,10.846,10.418,10.488,314600
2010-10-15,1287100800,10.846,10.846,9.926,10.067,357600
2010-10-18,1287360000,10.137,10.207,9.708,9.708,323900
2010-10-19,1287446400,9.708,9.786,9.287,9.498,943900
2010-10-20,1287532800,9.357,9.357,8.718,8.718,672300
2010-10-21,1287619200,9.007,9.217,8.297,8.507,538200
2010-10-22,1287705600,8.648,8.788,8.297,8.437,273500
2010-10-25,1287964800,8.577,8.577,8.007,8.507,353300
2010-10-26,1288051200,8.648,8.858,8.648,8.858,198900
2010-10-27,1288137600,9.427,9.427,8.718,8.788,647700
2010-10-28,1288224000,8.858,9.076,8.577,8.718,144600
2010-10-29,1288310400,8.507,8.928,8.507,8.718,145600
2010-11-01,1288569600,8.928,8.928,8.437,8.437,203800
2010-11-02,1288656000,9.076,9.076,8.226,8.297,209700
2010-11-03,1288742400,8.297,8.437,7.938,8.297,322700
2010-11-04,1288828800,8.148,8.437,8.148,8.297,316300
2010-11-05,1288915200,8.858,8.858,8.507,8.648,402700
2010-11-08,1289174400,8.788,8.928,8.148,8.226,348500
2010-11-09,1289260800,8.367,8.437,7.798,7.868,632600
2010-11-10,1289347200,7.868,8.007,7.727,7.938,342100
2010-11-11,1289433600,8.007,8.007,7.369,7.517,296300
2010-11-12,1289520000,7.369,7.447,7.018,7.158,537100
2010-11-15,1289779200,7.228,7.299,6.878,6.948,273000
2010-11-16,1289865600,6.948,7.018,6.667,6.737,278100
2010-11-17,1289952000,6.667,7.228,6.667,7.018,293800
2010-11-18,1290038400,7.088,7.447,7.088,7.447,465600
2010-11-19,1290124800,7.657,7.657,7.018,7.088,252700
2010-11-22,1290384000,6.878,7.018,6.807,6.948,326500
2010-11-23,1290470400,7.088,7.228,6.878,7.088,233200
2010-11-24,1290556800,7.088,7.228,6.878,7.088,286200
2010-11-25,1290643200,7.228,7.587,7.228,7.587,836100
2010-11-26,1290729600,8.007,8.007,7.868,8.007,1320400
2010-11-29,1290988800,8.507,8.507,7.938,8.507,1243700
2010-11-30,1291075200,9.007,9.007,9.007,9.007,210100
2010-12-01,1291161600,9.568,9.568,9.007,9.287,2892600
2010-12-02,1291248000,9.076,10.137,9.076,10.137,2179300
2010-12-03,1291334400,10.488,10.566,10.418,10.566,1173200
2010-12-06,1291593600,11.268,11.268,10.418,10.636,1749000
2010-12-07,1291680000,10.566,10.917,10.277,10.277,1674300
2010-12-08,1291766400,9.926,10.067,9.638,9.638,1171300
2010-12-09,1291852800,9.357,9.996,9.076,9.786,1812200
2010-12-10,1291939200,9.926,10.067,9.926,10.067,892000
2010-12-13,1292198400,10.706,10.706,10.706,10.706,214500
2010-12-14,1292284800,11.416,11.416,9.996,10.137,2343600
2010-12-15,1292371200,10.636,10.776,9.996,10.067,1154500
