date,timestamp,open,high,low,close,volume
2016-06-17,1466121600,6.409,7.819,6.409,7.691,178100
2016-06-20,1466380800,7.755,7.883,7.627,7.755,122100
2016-06-21,1466467200,7.627,7.691,7.499,7.563,98800
2016-06-22,1466553600,7.499,7.627,7.242,7.563,107800
2016-06-23,1466640000,7.434,7.691,7.37,7.563,83100
2016-06-24,1466726400,7.563,7.627,7.242,7.37,106000
2016-06-27,1466985600,7.434,7.499,7.37,7.434,63700
2016-06-28,1467072000,7.37,7.499,7.306,7.434,82300
2016-06-29,1467158400,7.37,7.499,7.37,7.499,83200
2016-06-30,1467244800,7.434,7.691,7.434,7.627,110200
2016-07-01,1467331200,7.499,7.691,7.499,7.563,65300
2016-07-04,1467590400,7.563,7.627,7.499,7.627,37800
2016-07-05,1467676800,7.627,7.691,7.434,7.499,40200
2016-07-06,1467763200,7.563,7.627,7.499,7.563,30400
2016-07-07,1467849600,7.563,7.627,7.434,7.563,34300
2016-07-08,1467936000,7.563,7.563,7.434,7.434,34200
2016-07-11,1468195200,7.05,7.499,7.05,7.37,22200
2016-07-12,1468281600,7.434,7.499,7.37,7.37,18900
2016-07-13,1468368000,7.434,7.499,7.37,7.37,24100
2016-07-14,1468454400,7.37,7.434,7.37,7.434,21500
2016-07-15,1468540800,7.37,7.499,7.37,7.434,19900
2016-07-18,1468800000,7.434,7.434,7.242,7.37,23800
2016-07-19,1468886400,7.37,7.434,7.306,7.37,19600
2016-07-20,1468972800,7.37,7.37,7.242,7.37,15200
2016-07-21,1469059200,7.37,7.434,7.37,7.37,25600
2016-07-22,1469145600,7.434,7.563,7.434,7.563,14000
2016-07-25,1469404800,7.434,7.499,7.434,7.499,15800
2016-07-26,1469491200,7.434,7.434,7.37,7.434,14000
2016-07-27,1469577600,7.499,7.499,7.499,7.499,23500
2016-07-28,1469664000,7.499,7.499,7.434,7.434,16000
2016-07-29,1469750400,7.499,7.499,7.37,7.37,14200
2016-08-01,1470009600,7.37,7.434,7.37,7.37,28500
2016-08-02,1470096000,7.434,7.434,7.37,7.434,11500
2016-08-03,1470182400,7.434,7.434,7.306,7.434,18600
2016-08-04,1470268800,7.37,7.37,7.306,7.306,17300
2016-08-05,1470355200,7.37,7.37,7.306,7.306,11000
2016-08-08,1470614400,7.306,7.306,7.306,7.306,12300
2016-08-09,1470700800,7.306,7.306,7.242,7.242,23000
2016-08-10,1470787200,7.306,7.306,7.178,7.178,12000
2016-08-11,1470873600,7.178,7.178,7.178,7.178,13500
2016-08-12,1470960000,7.178,7.178,7.05,7.115,17200
2016-08-15,1471219200,6.986,7.115,6.986,7.115,4100
2016-08-16,1471305600,7.05,7.115,6.986,6.986,10300
2016-08-17,1471392000,7.05,7.05,6.986,6.986,13800
2016-08-18,1471478400,6.986,8.012,6.986,7.306,41700
2016-08-19,1471564800,6.986,7.115,6.922,7.115,20300
2016-08-22,1471824000,6.986,6.986,6.794,6.794,33500
2016-08-23,1471910400,6.922,6.922,6.858,6.922,23900
2016-08-24,1471996800,6.858,6.922,6.858,6.922,8000
2016-08-25,1472083200,6.922,6.922,6.858,6.858,13600
2016-08-26,1472169600,6.858,6.858,6.858,6.858,10700
2016-08-29,1472428800,6.922,7.306,6.922,7.306,51200
2016-08-30,1472515200,6.858,6.858,6.73,6.73,35000
2016-08-31,1472601600,6.794,6.794,6.73,6.73,17000
2016-09-01,1472688000,6.73,6.73,6.665,6.665,6500
2016-09-05,1473033600,6.794,6.794,6.73,6.73,14300
2016-09-06,1473120000,6.794,6.794,6.665,6.665,26000
2016-09-07,1473206400,6.794,6.986,6.794,6.858,19600
2016-09-08,1473292800,6.858,6.858,6.794,6.858,12700
2016-09-09,1473379200,6.922,7.05,6.922,7.05,10300
2016-09-12,1473638400,6.922,7.178,6.922,7.178,4000
2016-09-13,1473724800,7.242,7.242,7.242,7.242,500
2016-09-14,1473811200,7.242,7.242,7.242,7.242,0
2016-09-15,1473897600,7.05,7.05,6.858,6.858,7500
2016-09-16,1473984000,6.794,6.794,6.73,6.73,8000
2016-09-19,1474243200,6.73,6.794,6.73,6.794,5500
2016-09-20,1474329600,6.794,6.794,6.794,6.794,10000
2016-09-21,1474416000,6.858,7.115,6.858,7.115,17000
2016-09-22,1474502400,7.178,7.306,7.05,7.05,8000
2016-09-23,1474588800,6.922,7.115,6.665,6.665,61000
2016-09-26,1474848000,6.794,6.986,6.794,6.794,12200
2016-09-27,1474934400,6.858,6.986,6.858,6.858,11100
2016-09-28,1475020800,6.858,7.05,6.858,7.05,12400
2016-09-29,1475107200,6.922,7.05,6.794,7.05,30900
2016-09-30,1475193600,6.858,6.986,6.858,6.922,9500
2016-10-03,1475452800,7.05,7.05,7.05,7.05,300
2016-10-04,1475539200,7.05,7.05,7.05,7.05,6
2016-10-05,1475625600,7.05,7.05,7.05,7.05,0
2016-10-06,1475712000,7.05,7.05,7.05,7.05,0
2016-10-07,1475798400,7.05,7.05,7.05,7.05,0
2016-10-10,1476057600,7.05,7.05,7.05,7.05,0
2016-10-11,1476144000,7.05,7.05,7.05,7.05,0
2016-10-12,1476230400,6.794,6.794,6.794,6.794,5000
2016-10-13,1476316800,6.986,7.05,6.986,7.05,2500
2016-10-14,1476403200,6.73,6.73,6.537,6.665,27500
2016-10-17,1476662400,6.794,6.858,6.794,6.858,2000
2016-10-18,1476748800,6.986,6.986,6.986,6.986,1000
2016-10-19,1476835200,6.986,6.986,6.986,6.986,0
2016-10-20,1476921600,6.794,6.794,6.794,6.794,7500
2016-10-21,1477008000,6.794,6.794,6.794,6.794,10000
2016-10-24,1477267200,7.05,7.37,7.05,7.05,20000
2016-10-25,1477353600,7.05,7.05,7.05,7.05,4000
2016-10-26,1477440000,7.05,7.05,7.05,7.05,0
2016-10-27,1477526400,6.794,7.05,6.73,7.05,15010
2016-10-28,1477612800,6.858,6.858,6.858,6.858,0
2016-10-31,1477872000,6.858,7.05,6.794,6.794,11600
2016-11-01,1477958400,6.858,6.922,6.794,6.794,19000
2016-11-02,1478044800,6.794,6.986,6.73,6.794,19600
2016-11-03,1478131200,6.794,7.05,6.794,6.858,17500
2016-11-04,1478217600,6.858,6.922,6.858,6.922,19400
2016-11-07,1478476800,6.858,7.05,6.858,6.922,15400
2016-11-08,1478563200,6.858,6.922,6.858,6.858,15800
2016-11-09,1478649600,7.05,7.178,6.858,6.858,13600
2016-11-10,1478736000,6.922,6.922,6.858,6.858,11000
2016-11-11,1478822400,6.858,6.986,6.858,6.986,14000
2016-11-14,1479081600,6.858,6.986,6.794,6.986,11500
2016-11-15,1479168000,6.858,7.05,6.858,7.05,41400
2016-11-16,1479254400,6.858,6.858,6.73,6.73,32000
2016-11-17,1479340800,6.858,7.05,6.858,7.05,30900
2016-11-18,1479427200,6.858,7.115,6.858,7.115,12000
2016-11-21,1479686400,7.115,7.115,6.858,6.986,14800
2016-11-22,1479772800,6.858,7.05,6.858,7.05,24000
2016-11-23,1479859200,6.858,7.05,6.858,6.986,12600
2016-11-24,1479945600,6.858,6.922,6.858,6.922,15300
2016-11-25,1480032000,6.986,7.05,6.922,6.922,11000
2016-11-28,1480291200,6.858,6.986,6.858,6.922,7400
2016-11-29,1480377600,6.794,6.922,6.794,6.922,12300
2016-11-30,1480464000,6.858,6.922,6.858,6.922,8600
2016-12-01,1480550400,6.794,7.242,6.794,7.115,47000
2016-12-02,1480636800,7.05,7.115,7.05,7.115,6500
2016-12-05,1480896000,6.922,7.242,6.922,7.05,21400
2016-12-06,1480982400,6.922,7.115,6.922,7.115,14600
2016-12-07,1481068800,6.922,7.242,6.922,7.05,68000
2016-12-08,1481155200,7.05,7.05,7.05,7.05,700
2016-12-09,1481241600,7.05,7.05,7.05,7.05,44000
2016-12-12,1481500800,6.986,7.37,6.986,7.05,16000
2016-12-13,1481587200,7.05,7.499,7.05,7.499,22400
2016-12-14,1481673600,7.37,7.499,7.178,7.499,11400
2016-12-15,1481760000,7.499,7.563,7.499,7.563,4000
2016-12-16,1481846400,8.076,8.076,7.37,7.37,24000
2016-12-19,1482105600,7.819,7.819,7.691,7.755,9000
2016-12-20,1482192000,7.819,7.948,7.819,7.819,7300
2016-12-21,1482278400,7.948,7.948,7.948,7.948,1700
2016-12-22,1482364800,7.691,8.012,7.691,8.012,7000
2016-12-23,1482451200,7.691,8.012,7.691,8.012,1800
2016-12-26,1482710400,7.755,7.755,7.755,7.755,100
2016-12-27,1482796800,7.563,7.948,7.563,7.948,3100
2016-12-28,1482883200,7.691,7.691,7.691,7.691,1100
2016-12-29,1482969600,7.691,7.948,7.691,7.691,8100
2016-12-30,1483056000,7.691,7.948,7.691,7.948,4600
2017-01-03,1483401600,7.883,7.883,7.883,7.883,0
2017-01-04,1483488000,8.138,8.138,7.691,7.691,5900
2017-01-05,1483574400,8.138,8.138,8.138,8.138,3100
2017-01-06,1483660800,8.332,9.357,8.076,8.076,7100
2017-01-09,1483920000,9.293,9.293,8.138,8.138,5100
2017-01-10,1484006400,8.138,8.138,8.138,8.138,5100
2017-01-11,1484092800,8.076,8.076,8.076,8.076,200
2017-01-12,1484179200,8.267,8.267,8.267,8.267,100
2017-01-13,1484265600,8.332,8.332,7.691,7.691,13200
2017-01-16,1484524800,7.755,7.755,7.627,7.691,150700
2017-01-17,1484611200,7.691,7.691,7.691,7.691,1500
2017-01-18,1484697600,8.267,8.332,8.267,8.332,1000
2017-01-19,1484784000,8.203,8.267,8.076,8.076,7500
2017-01-20,1484870400,8.331,8.331,8.331,8.331,1600
2017-01-23,1485129600,8.234,8.234,8.041,8.041,4800
