date,timestamp,open,high,low,close,volume
2016-03-02,1456876800,10.077,10.077,10.077,10.077,0
2016-03-03,1456963200,10.077,10.077,10.077,10.077,0
2016-03-04,1457049600,13.065,13.065,13.065,13.065,100
2016-03-07,1457308800,14.315,14.315,14.315,14.315,100
2016-03-08,1457395200,14.315,14.315,14.315,14.315,0
2016-03-09,1457481600,15.706,15.706,15.706,15.706,100
2016-03-10,1457568000,15.706,15.706,15.706,15.706,0
2016-03-11,1457654400,15.706,15.706,15.706,15.706,0
2016-03-14,1457913600,15.706,15.706,15.706,15.706,0
2016-03-15,1458000000,14.246,14.246,14.246,14.246,200
2016-03-16,1458086400,14.246,14.246,14.246,14.246,0
2016-03-17,1458172800,14.246,14.246,14.246,14.246,0
2016-03-18,1458259200,14.246,14.246,14.246,14.246,0
2016-03-21,1458518400,14.246,14.246,14.246,14.246,0
2016-03-22,1458604800,14.246,14.246,14.246,14.246,0
2016-03-23,1458691200,14.246,14.246,14.246,14.246,0
2016-03-24,1458777600,14.246,14.246,14.246,14.246,0
2016-03-25,1458864000,14.246,14.246,14.246,14.246,0
2016-03-28,1459123200,14.246,14.246,14.246,14.246,0
2016-03-29,1459209600,14.246,14.246,14.246,14.246,0
2016-03-30,1459296000,14.246,14.246,14.246,14.246,0
2016-03-31,1459382400,14.246,14.246,14.246,14.246,0
2016-04-01,1459468800,14.246,14.246,14.246,14.246,0
2016-04-04,1459728000,14.246,14.246,14.246,14.246,0
2016-04-05,1459814400,14.246,14.246,14.246,14.246,0
2016-04-06,1459900800,14.246,14.246,14.246,14.246,0
2016-04-07,1459987200,14.246,14.246,14.246,14.246,0
2016-04-08,1460073600,14.246,14.246,14.246,14.246,0
2016-04-11,1460332800,14.246,14.246,14.246,14.246,0
2016-04-12,1460419200,14.246,14.246,14.246,14.246,0
2016-04-13,1460505600,14.246,14.246,14.246,14.246,0
2016-04-14,1460592000,12.857,12.857,12.857,12.857,423
2016-04-15,1460678400,12.857,12.857,12.857,12.857,0
2016-04-19,1461024000,12.857,12.857,12.857,12.857,0
2016-04-20,1461110400,12.857,12.857,12.857,12.857,0
2016-04-21,1461196800,12.857,12.857,12.857,12.857,0
2016-04-22,1461283200,12.857,12.857,12.857,12.857,0
2016-04-25,1461542400,12.857,12.857,12.857,12.857,0
2016-04-26,1461628800,12.857,12.857,12.857,12.857,0
2016-04-27,1461715200,12.857,12.857,12.857,12.857,0
2016-04-28,1461801600,12.857,12.857,12.857,12.857,0
2016-04-29,1461888000,12.857,12.857,12.857,12.857,0
2016-05-04,1462320000,12.857,12.857,12.857,12.857,0
2016-05-05,1462406400,12.857,12.857,12.857,12.857,0
