date,timestamp,open,high,low,close,volume
2015-03-18,1426636800,9.55,9.55,9.182,9.444,150800
2015-03-19,1426723200,9.706,10.231,9.444,9.444,26100
2015-03-20,1426809600,9.444,9.444,9.339,9.339,3200
2015-03-23,1427068800,8.657,8.657,8.447,8.447,12200
2015-03-24,1427155200,7.66,8.132,7.66,7.66,48200
2015-03-25,1427241600,7.66,7.713,7.66,7.713,4300
2015-03-26,1427328000,7.87,7.87,7.87,7.87,500
2015-03-27,1427414400,7.713,8.08,7.713,8.08,3800
2015-03-30,1427673600,8.08,8.08,8.08,8.08,1900
2015-03-31,1427760000,7.87,7.87,7.345,7.345,2600
2015-04-01,1427846400,7.345,7.345,7.083,7.083,1570
2015-04-02,1427932800,7.503,7.503,7.503,7.503,100
2015-04-03,1428019200,7.765,7.765,7.345,7.345,600
2015-04-06,1428278400,7.816,7.87,7.816,7.87,200
2015-04-07,1428364800,7.083,7.607,7.083,7.607,3700
2015-04-08,1428451200,7.345,7.345,7.345,7.345,1000
2015-04-09,1428537600,7.135,7.135,7.135,7.135,2000
2015-04-10,1428624000,7.135,7.188,7.083,7.188,13000
2015-04-13,1428883200,7.556,7.556,7.556,7.556,800
2015-04-14,1428969600,7.241,7.241,7.188,7.188,3800
2015-04-15,1429056000,7.188,7.188,7.188,7.188,50
2015-04-16,1429142400,7.398,7.398,7.345,7.345,6420
2015-04-17,1429228800,7.293,7.293,7.293,7.293,1000
2015-04-20,1429488000,7.293,7.503,7.293,7.503,2300
2015-04-21,1429574400,7.345,7.345,7.345,7.345,3800
2015-04-22,1429660800,7.345,7.503,7.345,7.503,2400
2015-04-23,1429747200,7.398,7.398,7.398,7.398,3000
2015-04-24,1429833600,7.765,7.765,7.765,7.765,100
2015-04-27,1430092800,7.765,7.765,7.765,7.765,0
2015-05-04,1430697600,7.398,7.398,7.398,7.398,7300
2015-05-05,1430784000,7.345,7.345,7.345,7.345,7300
2015-05-06,1430870400,7.293,7.293,7.293,7.293,500
2015-05-07,1430956800,7.398,7.607,7.398,7.607,1600
2015-05-08,1431043200,7.607,7.607,7.607,7.607,0
2015-05-11,1431302400,7.607,7.607,7.345,7.345,7600
2015-05-12,1431388800,7.345,7.345,7.345,7.345,7300
2015-05-13,1431475200,7.345,7.345,7.293,7.293,9300
2015-05-14,1431561600,7.293,7.293,7.293,7.293,0
2015-05-15,1431648000,7.765,7.87,7.765,7.87,1500
2015-05-18,1431907200,7.927,7.927,7.927,7.927,8800
2015-05-19,1431993600,7.927,7.927,7.87,7.87,43900
2015-05-20,1432080000,7.87,7.87,7.87,7.87,0
2015-05-21,1432166400,7.134,7.134,7.134,7.134,100
2015-05-22,1432252800,7.304,7.304,7.304,7.304,500
2015-05-25,1432512000,7.304,7.304,7.304,7.304,0
2015-05-26,1432598400,7.304,7.304,7.304,7.304,100
2015-05-27,1432684800,7.643,7.643,7.643,7.643,300
2015-05-28,1432771200,7.927,7.927,7.927,7.927,100
2015-05-29,1432857600,7.134,7.927,7.134,7.927,200
2015-06-01,1433116800,7.927,7.927,7.927,7.927,0
2015-06-02,1433203200,7.134,8.209,7.134,8.209,200
2015-06-03,1433289600,7.418,7.473,7.418,7.473,24200
2015-06-04,1433376000,7.473,7.473,7.473,7.473,0
2015-06-05,1433462400,7.473,7.473,7.473,7.473,0
2015-06-08,1433721600,7.473,7.473,7.473,7.473,0
2015-06-09,1433808000,7.927,7.927,7.359,7.359,5100
2015-06-10,1433894400,7.359,7.359,7.359,7.359,8200
2015-06-11,1433980800,7.359,7.359,7.359,7.359,0
2015-06-12,1434067200,7.359,7.359,7.304,7.304,5400
2015-06-15,1434326400,7.304,7.304,7.247,7.247,8000
2015-06-16,1434412800,7.247,7.247,7.247,7.247,0
2015-06-17,1434499200,7.247,7.247,7.247,7.247,1000
2015-06-18,1434585600,7.247,7.247,7.247,7.247,700
2015-06-19,1434672000,7.247,7.247,7.247,7.247,1000
2015-06-22,1434931200,7.247,7.247,7.247,7.247,0
2015-06-23,1435017600,7.191,7.191,7.191,7.191,2000
