date,timestamp,open,high,low,close,volume
2010-03-02,1267488000,3.251,3.251,3.251,3.251,10
2010-03-03,1267574400,3.415,3.415,3.415,3.415,10
2010-03-04,1267660800,3.415,3.415,3.415,3.415,10
2010-03-05,1267747200,3.576,3.576,3.576,3.576,1110
2010-03-08,1268006400,3.752,3.752,3.752,3.752,20
2010-03-09,1268092800,3.93,3.93,3.93,3.93,120
2010-03-10,1268179200,4.118,4.118,4.118,4.118,2310
2010-03-11,1268265600,4.321,4.321,4.321,4.321,1080
2010-03-12,1268352000,4.526,4.526,4.526,4.526,9110
2010-03-15,1268611200,4.742,4.742,4.742,4.742,12000
2010-03-16,1268697600,4.972,4.972,4.972,4.972,17150
2010-03-17,1268784000,5.216,5.216,5.216,5.216,32910
2010-03-18,1268870400,5.474,5.474,5.216,5.42,51450
2010-03-19,1268956800,5.216,5.42,5.149,5.149,12960
2010-03-22,1269216000,5.149,5.149,4.891,5.081,8800
2010-03-23,1269302400,5.216,5.216,4.972,5.081,4300
2010-03-24,1269388800,4.903,5.081,4.837,4.837,22130
2010-03-25,1269475200,4.81,4.81,4.605,4.605,4040
2010-03-26,1269561600,4.403,4.742,4.403,4.742,21540
2010-03-29,1269820800,4.864,4.864,4.864,4.864,3020
2010-03-30,1269907200,4.673,4.673,4.647,4.647,6420
2010-03-31,1269993600,4.243,4.243,4.128,4.128,11840
2010-04-01,1270080000,4.268,4.605,4.228,4.403,3560
2010-04-02,1270166400,4.363,4.58,4.335,4.58,2670
2010-04-05,1270425600,4.539,4.605,4.539,4.605,2250
2010-04-06,1270512000,4.43,4.471,4.43,4.471,4380
2010-04-07,1270598400,4.444,4.444,4.349,4.349,6410
2010-04-08,1270684800,4.335,4.335,4.268,4.296,3350
2010-04-09,1270771200,4.308,4.498,4.308,4.498,4110
2010-04-12,1271030400,4.605,4.605,4.605,4.605,4150
2010-04-13,1271116800,4.471,4.605,4.403,4.403,12430
2010-04-14,1271203200,4.268,4.605,4.268,4.605,3940
2010-04-15,1271289600,4.605,4.605,4.605,4.605,3000
2010-04-16,1271376000,4.539,4.539,4.376,4.376,10200
2010-04-19,1271635200,4.159,4.2,4.159,4.159,11240
2010-04-20,1271721600,4.2,4.363,4.2,4.363,9800
2010-04-21,1271808000,4.553,4.553,4.553,4.553,10
2010-04-22,1271894400,4.539,4.553,4.335,4.553,1790
2010-04-26,1272240000,4.553,4.553,4.335,4.335,5030
2010-04-27,1272326400,4.159,4.2,4.132,4.2,14740
2010-04-28,1272412800,4.2,4.268,4.2,4.268,3290
2010-04-29,1272499200,4.268,4.403,4.268,4.268,2830
2010-05-04,1272931200,4.403,4.403,4.403,4.403,1020
2010-05-05,1273017600,4.241,4.444,4.241,4.444,16650
2010-05-06,1273104000,4.539,4.619,4.444,4.619,16060
2010-05-07,1273190400,4.403,4.566,4.403,4.566,20
2010-05-10,1273449600,4.376,4.376,4.376,4.376,1910
2010-05-11,1273536000,4.444,4.471,4.444,4.457,10110
2010-05-12,1273622400,4.457,4.457,4.457,4.457,2000
2010-05-13,1273708800,4.268,4.268,4.255,4.255,410
2010-05-14,1273795200,4.268,4.444,4.255,4.444,3500
2010-05-17,1274054400,4.594,4.594,4.335,4.335,6300
2010-05-18,1274140800,4.335,4.403,4.335,4.403,5920
2010-05-19,1274227200,4.187,4.187,4.187,4.187,6000
2010-05-20,1274313600,4.389,4.389,4.389,4.389,10
2010-05-21,1274400000,4.173,4.471,4.173,4.173,80
2010-05-24,1274659200,3.97,4.349,3.97,4.349,710
2010-05-25,1274745600,4.132,4.335,4.132,4.335,3020
2010-05-26,1274832000,4.118,4.539,4.118,4.118,16600
2010-05-27,1274918400,4.308,4.308,3.916,3.93,3650
2010-05-28,1275004800,4.118,4.118,4.062,4.105,8310
2010-05-31,1275264000,4.2,4.2,4.2,4.2,10
2010-06-01,1275350400,4.062,4.2,4.062,4.062,4640
2010-06-02,1275436800,4.2,4.2,3.93,4.105,1270
2010-06-03,1275523200,4.105,4.308,4.105,4.308,14240
2010-06-04,1275609600,4.308,4.511,4.308,4.511,17290
2010-06-07,1275868800,4.308,4.308,4.308,4.308,2200
2010-06-08,1275955200,4.2,4.471,4.2,4.471,3140
2010-06-09,1276041600,4.282,4.282,4.282,4.282,1790
2010-06-10,1276128000,4.282,4.485,4.282,4.485,7160
2010-06-11,1276214400,4.605,4.701,4.605,4.701,43480
2010-06-14,1276473600,4.93,4.93,4.93,4.93,37620
2010-06-15,1276560000,5.176,5.176,5.176,5.176,17330
2010-06-16,1276646400,5.434,5.434,5.434,5.434,101510
2010-06-17,1276732800,5.704,5.704,5.704,5.704,42680
2010-06-18,1276819200,5.989,5.989,5.989,5.989,52860
2010-06-21,1277078400,5.759,6.232,5.69,5.759,76500
2010-06-22,1277164800,6.03,6.03,5.69,5.69,63930
2010-06-23,1277251200,5.825,5.825,5.69,5.69,12050
2010-06-24,1277337600,5.962,5.975,5.69,5.69,18870
2010-06-25,1277424000,5.704,5.975,5.704,5.704,22650
2010-06-28,1277683200,5.704,5.759,5.704,5.704,1670
2010-06-29,1277769600,5.447,5.461,5.434,5.461,4010
2010-06-30,1277856000,5.202,5.731,5.202,5.731,1900
2010-07-01,1277942400,5.731,5.731,5.488,5.488,2400
2010-07-02,1278028800,5.623,5.69,5.609,5.69,510
2010-07-05,1278288000,5.42,5.798,5.42,5.798,1710
2010-07-06,1278374400,5.514,5.514,5.514,5.514,5120
2010-07-07,1278460800,5.69,5.69,5.69,5.69,10
2010-07-08,1278547200,5.69,5.69,5.42,5.69,10620
2010-07-09,1278633600,5.406,5.731,5.406,5.731,1660
