date,timestamp,open,high,low,close,volume
2015-12-22,1450742400,14.1,14.1,10.1,10.1,5720500
2015-12-23,1450828800,11.7,11.7,10.1,10.5,2766900
2015-12-24,1450915200,12.0,12.0,10.6,10.6,1758000
2015-12-25,1451001600,12.0,12.4,11.0,12.4,185200
2015-12-28,1451260800,13.5,13.5,12.2,13.5,526100
2015-12-29,1451347200,14.0,15.0,14.0,15.0,792300
2015-12-30,1451433600,16.1,16.9,16.1,16.9,38500
2015-12-31,1451520000,19.3,19.3,18.0,19.3,737200
2016-01-04,1451865600,21.0,21.2,17.0,18.3,452100
2016-01-05,1451952000,18.8,19.0,16.4,16.4,357500
2016-01-06,1452038400,16.0,17.4,14.8,16.8,706000
2016-01-07,1452124800,16.5,18.5,16.2,18.5,353000
2016-01-08,1452211200,19.0,20.2,19.0,19.8,324200
2016-01-11,1452470400,19.8,19.8,17.7,18.8,229200
2016-01-12,1452556800,18.4,20.6,18.0,20.5,260600
2016-01-13,1452643200,20.9,21.8,19.5,20.0,207500
2016-01-14,1452729600,20.5,20.5,19.0,20.0,450900
2016-01-15,1452816000,19.8,21.8,19.6,21.2,327600
2016-01-18,1453075200,21.2,21.2,19.7,20.5,293400
2016-01-19,1453161600,19.0,22.0,19.0,20.8,295300
2016-01-20,1453248000,20.9,22.5,20.5,22.4,219100
2016-01-21,1453334400,22.9,24.8,22.9,24.8,150700
2016-01-22,1453420800,27.4,27.9,25.8,27.9,438000
2016-01-25,1453680000,29.9,31.2,27.0,28.5,242200
2016-01-26,1453766400,29.0,29.9,27.1,28.0,236400
2016-01-27,1453852800,29.0,30.4,28.0,28.6,201400
2016-01-28,1453939200,29.7,29.7,25.8,26.6,249000
2016-01-29,1454025600,26.7,26.9,23.2,23.2,283200
2016-02-01,1454284800,24.4,27.0,24.2,25.4,153600
2016-02-02,1454371200,25.5,26.0,23.8,24.0,100700
2016-02-03,1454457600,24.0,26.2,24.0,26.0,113600
2016-02-04,1454544000,25.6,28.4,25.6,28.0,168910
2016-02-05,1454630400,28.1,29.8,28.0,28.6,165900
2016-02-15,1455494400,29.2,29.9,28.2,29.2,71500
2016-02-16,1455580800,29.5,32.5,29.2,31.6,145900
2016-02-17,1455667200,32.0,35.6,32.0,35.5,230300
2016-02-18,1455753600,35.5,40.0,35.5,37.1,211300
2016-02-19,1455840000,37.0,37.5,34.4,35.3,252400
2016-02-22,1456099200,35.3,41.1,35.3,41.1,187700
2016-02-23,1456185600,41.0,43.9,39.5,39.6,282700
2016-02-24,1456272000,38.5,43.7,38.1,41.6,130720
2016-02-25,1456358400,41.0,41.0,36.9,37.0,279000
2016-02-26,1456444800,37.5,39.5,36.2,39.4,116000
2016-02-29,1456704000,41.7,42.1,40.0,41.0,109640
2016-03-01,1456790400,41.0,41.5,39.7,40.4,87200
2016-03-02,1456876800,40.3,41.2,38.2,38.6,95000
2016-03-03,1456963200,39.9,40.0,38.5,39.2,101120
2016-03-04,1457049600,39.0,41.0,39.0,40.9,97500
2016-03-07,1457308800,42.0,43.2,41.2,41.6,92000
2016-03-08,1457395200,42.0,42.0,40.6,40.8,53530
2016-03-09,1457481600,41.0,41.5,40.4,40.9,48000
2016-03-10,1457568000,41.2,42.5,40.8,42.5,92660
2016-03-11,1457654400,42.0,42.9,42.0,42.4,50410
2016-03-14,1457913600,42.5,43.4,40.5,41.3,96200
2016-03-15,1458000000,41.5,41.5,40.6,40.9,94350
2016-03-16,1458086400,40.6,42.0,40.6,41.5,54400
2016-03-17,1458172800,41.9,42.5,41.6,42.5,81700
2016-03-18,1458259200,42.0,47.5,42.0,45.2,198350
2016-03-21,1458518400,46.0,51.1,46.0,51.1,121080
2016-03-22,1458604800,55.0,57.2,55.0,57.2,8700
