date,timestamp,open,high,low,close,volume
2008-09-09,1220918400,42.88,43.66,38.06,38.5,309380
2008-09-10,1221004800,36.58,36.66,36.58,36.58,223650
2008-09-11,1221091200,34.83,34.83,34.83,34.83,35120
2008-09-12,1221177600,33.16,33.16,33.16,33.16,2480
2008-09-15,1221436800,33.16,34.74,33.16,33.43,484330
2008-09-16,1221523200,35.0,35.0,31.94,32.29,293470
2008-09-17,1221609600,30.8,31.06,30.71,30.71,151310
2008-09-18,1221696000,29.23,29.23,29.23,29.23,18820
2008-09-19,1221782400,30.63,30.63,30.63,30.63,228130
2008-09-22,1222041600,32.11,32.11,32.11,32.11,39580
2008-09-23,1222128000,30.54,33.25,30.54,31.5,425830
2008-09-24,1222214400,31.5,31.5,30.63,31.06,63930
2008-09-25,1222300800,31.41,32.549,31.06,32.549,186290
2008-09-26,1222387200,34.13,34.13,33.69,34.13,495550
2008-09-29,1222646400,35.79,35.79,34.13,35.53,298490
2008-09-30,1222732800,33.78,33.78,33.78,33.78,8110
2008-10-01,1222819200,33.6,34.48,32.38,33.25,88300
2008-10-02,1222905600,34.48,34.48,32.99,33.69,119910
2008-10-03,1222992000,32.03,33.69,32.03,32.81,103160
2008-10-06,1223251200,31.33,31.41,31.24,31.24,174930
2008-10-07,1223337600,29.75,31.24,29.75,29.75,202540
2008-10-08,1223424000,28.26,29.75,28.26,28.35,85950
2008-10-09,1223510400,27.21,29.75,27.21,28.0,82960
2008-10-10,1223596800,26.69,27.04,26.6,26.6,105310
2008-10-13,1223856000,27.74,27.74,25.29,25.38,53720
2008-10-14,1223942400,26.6,26.6,26.6,26.6,11390
2008-10-15,1224028800,27.56,27.56,25.46,27.39,134010
2008-10-16,1224115200,26.08,26.43,26.08,26.08,80880
2008-10-17,1224201600,26.95,26.95,25.38,25.38,68080
2008-10-20,1224460800,24.5,24.5,24.15,24.5,110880
2008-10-21,1224547200,25.55,25.55,24.41,24.94,48730
2008-10-22,1224633600,23.8,24.06,23.71,23.71,59230
2008-10-23,1224720000,22.58,22.58,22.58,22.58,54970
2008-10-24,1224806400,21.53,21.61,21.53,21.53,129050
2008-10-27,1225065600,20.48,20.48,20.48,20.48,9900
2008-10-28,1225152000,19.51,19.51,19.51,19.51,10350
2008-10-29,1225238400,20.39,20.39,18.55,18.55,197510
2008-10-30,1225324800,17.68,18.81,17.68,17.76,99990
2008-10-31,1225411200,17.76,18.64,17.76,18.64,136350
2008-11-03,1225670400,18.64,18.81,17.76,18.73,63010
2008-11-04,1225756800,17.94,19.6,17.94,19.6,40850
2008-11-05,1225843200,20.56,20.56,20.56,20.56,3600
2008-11-06,1225929600,19.6,21.53,19.6,20.3,122880
2008-11-07,1226016000,19.34,19.95,19.34,19.34,103880
2008-11-10,1226275200,19.69,19.78,18.99,19.6,60610
2008-11-11,1226361600,18.81,18.99,18.64,18.64,36220
2008-11-12,1226448000,17.76,18.29,17.76,18.29,41570
2008-11-13,1226534400,18.29,18.38,17.85,17.85,51720
2008-11-14,1226620800,18.64,18.73,17.94,18.38,167040
2008-11-17,1226880000,18.38,18.73,18.38,18.64,70550
2008-11-18,1226966400,19.34,19.51,19.25,19.51,218800
2008-11-19,1227052800,20.39,20.39,19.51,19.51,94580
2008-11-20,1227139200,19.69,19.69,18.55,18.55,134690
2008-11-21,1227225600,17.68,18.38,17.68,17.85,186630
2008-11-24,1227484800,18.38,18.38,17.85,17.94,101800
2008-11-25,1227571200,17.94,17.94,17.24,17.94,43390
2008-11-26,1227657600,17.94,18.2,17.76,17.85,93410
2008-11-27,1227744000,17.68,18.38,17.5,17.59,128430
2008-11-28,1227830400,15.84,16.54,15.84,16.36,45730
2008-12-01,1228089600,15.58,16.1,15.58,15.58,54170
2008-12-02,1228176000,14.88,14.88,14.88,14.88,4990
2008-12-03,1228262400,14.18,14.26,14.18,14.18,88510
2008-12-04,1228348800,14.88,14.88,14.18,14.18,58590
2008-12-05,1228435200,13.83,14.0,13.48,13.48,34760
2008-12-08,1228694400,13.04,13.04,12.86,12.86,34900
2008-12-09,1228780800,12.25,12.86,12.25,12.34,45260
2008-12-10,1228867200,12.69,12.69,11.73,11.73,25070
2008-12-11,1228953600,11.46,11.99,11.46,11.81,30630
2008-12-12,1229040000,12.34,12.34,12.25,12.34,35820
2008-12-15,1229299200,12.6,12.95,12.25,12.95,32510
2008-12-16,1229385600,12.43,12.51,12.34,12.34,16820
2008-12-17,1229472000,11.99,12.25,11.81,11.99,33660
2008-12-18,1229558400,12.34,12.34,12.08,12.25,19990
2008-12-19,1229644800,12.16,12.25,11.99,12.25,52810
2008-12-22,1229904000,12.51,12.51,12.25,12.34,21720
2008-12-23,1229990400,11.9,12.25,11.9,11.99,47380
2008-12-24,1230076800,11.64,12.25,11.64,12.08,24740
2008-12-25,1230163200,11.9,12.34,11.9,11.99,22360
2008-12-26,1230249600,11.81,12.08,11.81,11.99,22700
2008-12-29,1230508800,12.16,12.43,11.99,12.34,28340
2008-12-30,1230595200,12.95,12.95,12.95,12.95,70300
2008-12-31,1230681600,13.56,13.56,12.95,12.95,171460
2009-01-02,1230854400,13.56,13.56,13.39,13.56,199060
2009-01-05,1231113600,13.65,13.65,13.13,13.48,26830
2009-01-06,1231200000,13.3,13.48,13.13,13.13,61970
2009-01-07,1231286400,13.48,13.56,13.3,13.3,55410
2009-01-08,1231372800,13.39,13.39,12.95,12.95,135280
2009-01-09,1231459200,13.39,13.48,12.95,13.3,54480
2009-01-12,1231718400,13.48,13.83,13.39,13.56,56480
2009-01-13,1231804800,13.56,13.56,13.21,13.3,11320
2009-01-14,1231891200,13.3,13.48,13.04,13.21,22980
2009-01-15,1231977600,13.13,13.3,12.95,13.04,20040
2009-01-16,1232064000,13.13,13.21,12.95,13.21,23490
2009-01-19,1232323200,13.13,13.21,12.95,12.95,19470
2009-01-20,1232409600,13.04,13.04,12.43,12.43,38920
2009-01-21,1232496000,12.43,12.6,12.34,12.34,11800
2009-01-22,1232582400,12.69,12.69,12.16,12.16,45260
2009-01-23,1232668800,12.34,12.34,12.08,12.25,21200
2009-02-02,1233532800,12.34,12.34,12.08,12.25,10050
2009-02-03,1233619200,12.16,12.25,11.81,11.81,36490
2009-02-04,1233705600,11.81,12.08,11.29,11.29,78400
2009-02-05,1233792000,11.11,11.29,10.76,10.76,41130
2009-02-06,1233878400,10.5,10.94,10.33,10.68,54500
2009-02-09,1234137600,10.94,11.03,10.68,11.03,30320
2009-02-10,1234224000,10.5,10.85,10.5,10.59,41810
2009-02-11,1234310400,10.33,10.68,10.33,10.33,37140
2009-02-12,1234396800,10.5,10.59,10.33,10.33,62660
2009-02-13,1234483200,10.5,10.59,10.5,10.5,13000
2009-02-16,1234742400,10.59,10.59,10.41,10.5,11900
2009-02-17,1234828800,10.59,10.59,10.24,10.24,45310
2009-02-18,1234915200,10.06,10.24,9.8,9.8,38700
2009-02-19,1235001600,10.15,10.15,9.8,10.06,50570
2009-02-20,1235088000,10.06,10.06,9.89,9.98,37200
2009-02-23,1235347200,10.06,10.06,9.8,9.8,24280
2009-02-24,1235433600,9.36,9.63,9.36,9.45,39120
2009-02-25,1235520000,9.8,9.89,9.71,9.89,35010
2009-02-26,1235606400,9.89,9.89,9.63,9.63,23190
2009-02-27,1235692800,9.63,9.89,9.63,9.8,17840
2009-03-02,1235952000,9.89,9.89,9.8,9.8,16750
2009-03-03,1236038400,9.8,9.89,9.8,9.89,13700
2009-03-04,1236124800,9.89,10.06,9.89,9.89,11810
2009-03-05,1236211200,9.89,10.33,9.89,10.24,20750
2009-03-06,1236297600,10.06,10.33,10.06,10.15,21880
2009-03-09,1236556800,10.15,10.5,10.15,10.5,16930
2009-03-10,1236643200,10.5,10.76,10.5,10.68,18640
2009-03-11,1236729600,10.68,10.94,10.33,10.94,59650
2009-03-12,1236816000,10.76,10.76,10.41,10.41,27590
2009-03-13,1236902400,10.41,10.59,10.41,10.5,29370
2009-03-16,1237161600,10.5,10.85,10.5,10.68,7140
2009-03-17,1237248000,11.03,11.11,10.76,10.85,33210
2009-03-18,1237334400,11.29,11.38,11.11,11.38,77970
2009-03-19,1237420800,10.94,11.38,10.85,10.85,57630
2009-03-20,1237507200,10.5,11.2,10.5,10.85,14940
2009-03-23,1237766400,11.03,11.03,10.76,10.76,11730
2009-03-24,1237852800,11.2,11.2,11.11,11.2,31740
2009-03-25,1237939200,11.03,11.29,11.03,11.2,29210
2009-03-26,1238025600,11.38,11.38,11.11,11.29,37980
2009-03-27,1238112000,11.38,11.38,11.2,11.2,47710
2009-03-30,1238371200,11.11,11.11,10.85,11.11,12210
2009-03-31,1238457600,10.59,11.03,10.59,10.94,36670
2009-04-01,1238544000,11.11,11.29,11.03,11.29,31960
2009-04-02,1238630400,11.46,11.46,11.29,11.29,78580
2009-04-03,1238716800,11.81,11.81,11.73,11.81,115410
2009-04-07,1239062400,12.16,12.34,11.73,12.34,67560
2009-04-08,1239148800,11.99,12.95,11.73,11.73,108800
2009-04-09,1239235200,11.99,11.99,11.73,11.99,55500
2009-04-10,1239321600,12.34,12.51,12.25,12.51,77030
2009-04-13,1239580800,13.13,13.13,13.13,13.13,98840
2009-04-14,1239667200,13.74,13.74,13.3,13.74,236260
2009-04-15,1239753600,13.56,13.56,13.13,13.13,103060
2009-04-16,1239840000,13.21,13.3,12.51,13.13,130740
2009-04-17,1239926400,13.3,13.3,12.51,12.6,264630
2009-04-20,1240185600,11.99,11.99,11.99,11.99,68310
2009-04-21,1240272000,11.46,11.64,11.46,11.46,74600
2009-04-22,1240358400,11.9,11.99,11.64,11.9,64700
2009-04-23,1240444800,11.64,12.16,11.55,11.55,76630
2009-04-24,1240531200,11.03,11.2,11.03,11.03,121240
2009-04-27,1240790400,11.29,11.29,10.5,10.94,101260
2009-04-28,1240876800,11.11,11.11,10.5,10.76,50940
2009-04-29,1240963200,10.76,11.29,10.76,11.29,55370
2009-05-04,1241395200,11.81,11.81,11.81,11.81,42790
2009-05-05,1241481600,12.34,12.34,11.99,12.16,116770
2009-05-06,1241568000,11.64,11.99,11.64,11.64,46300
2009-05-07,1241654400,13.6,13.6,13.3,13.5,68800
2009-05-08,1241740800,11.38,11.81,11.38,11.38,74980
2009-05-11,1242000000,11.55,11.81,11.38,11.73,53400
2009-05-12,1242086400,11.38,11.99,11.38,11.9,95640
2009-05-13,1242172800,13.8,13.8,13.3,13.3,62100
2009-05-14,1242259200,11.46,11.99,11.38,11.99,113210
2009-05-15,1242345600,12.16,12.25,12.08,12.25,104950
2009-05-18,1242604800,12.25,12.51,11.81,12.51,175010
2009-05-19,1242691200,13.13,13.13,13.13,13.13,128720
2009-05-20,1242777600,13.74,13.74,13.74,13.74,26980
2009-05-21,1242864000,14.35,14.35,14.35,14.35,79510
2009-05-22,1242950400,15.05,15.05,13.65,13.65,494530
2009-05-25,1243209600,14.26,14.26,14.26,14.26,218610
2009-05-26,1243296000,14.96,14.96,14.88,14.96,257090
2009-05-27,1243382400,15.66,15.66,15.66,15.66,146830
2009-05-28,1243468800,15.66,16.19,15.66,16.19,510790
2009-05-29,1243555200,16.89,16.89,15.4,15.4,217130
2009-06-01,1243814400,16.1,16.1,15.75,16.1,210420
2009-06-02,1243900800,16.89,16.89,16.89,16.89,40650
2009-06-03,1243987200,17.68,17.68,17.68,17.68,272140
2009-06-04,1244073600,18.55,18.55,18.55,18.55,76300
2009-06-05,1244160000,19.43,19.43,19.43,19.43,32200
2009-06-08,1244419200,20.39,20.39,20.39,20.39,23120
2009-06-09,1244505600,21.35,21.35,20.13,21.35,723100
2009-06-10,1244592000,20.3,21.0,20.3,20.3,359570
2009-06-11,1244678400,21.0,21.09,20.56,20.74,268940
2009-06-12,1244764800,21.0,21.35,19.78,19.78,241700
2009-06-15,1245024000,18.81,18.81,18.81,18.81,58250
2009-06-16,1245110400,17.94,17.94,17.94,17.94,5560
2009-06-17,1245196800,17.06,17.06,17.06,17.06,31630
2009-06-18,1245283200,17.06,17.68,16.63,16.63,201740
2009-06-19,1245369600,16.63,17.41,16.19,17.41,292750
2009-06-22,1245628800,16.8,16.8,16.63,16.63,56940
2009-06-23,1245715200,15.84,15.84,15.84,15.84,93500
2009-06-24,1245801600,15.75,16.63,15.75,16.63,102240
2009-06-25,1245888000,16.63,16.63,15.84,15.84,56050
2009-06-26,1245974400,15.58,16.1,15.14,15.66,98690
2009-06-29,1246233600,15.23,16.1,14.96,15.58,66000
2009-06-30,1246320000,15.05,15.23,14.88,14.88,129740
2009-07-01,1246406400,14.18,14.26,14.18,14.18,57790
2009-07-02,1246492800,14.35,14.88,14.0,14.88,33350
2009-07-03,1246579200,14.35,14.88,14.35,14.53,32400
2009-07-06,1246838400,14.88,15.23,14.88,15.14,120990
2009-07-07,1246924800,14.79,15.14,14.53,15.14,101120
2009-07-08,1247011200,14.88,15.23,14.88,15.14,74930
