date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2010-12-24,1293148800,3.915,3.915,2.562,2.681,15300,,,,,,2.539,-0.14,-0.05,-1,,,,,,,,,False,False,False
2010-12-27,1293408000,2.562,2.562,2.539,2.539,3200,,,,,2.681,2.539,0.0,0.0,-1,,,,,,,,,False,False,False
2010-12-28,1293494400,2.49,2.539,2.49,2.539,2400,,,,2.681,2.539,2.372,-0.17,-0.07,-1,,,,,,,,,False,False,False
2010-12-29,1293580800,2.518,2.518,2.372,2.372,4200,2.681,-0.31,-0.12,2.539,2.539,2.49,0.12,0.05,1,,,,,,,,,False,False,False
2010-12-30,1293667200,2.372,2.49,2.372,2.49,700,2.539,-0.05,-0.02,2.539,2.372,2.446,-0.04,-0.02,-1,2.52,,,,,,,,False,False,False
2010-12-31,1293753600,2.467,2.467,2.278,2.446,1000,2.539,-0.09,-0.04,2.372,2.49,2.372,-0.07,-0.03,-1,2.48,,,,,,,,False,False,False
2011-01-04,1294099200,2.372,2.372,2.372,2.372,2800,2.372,0.0,0.0,2.49,2.446,2.372,0.0,0.0,-1,2.44,,,,,,,,False,False,False
2011-01-05,1294185600,2.372,2.372,2.372,2.372,1800,2.49,-0.12,-0.05,2.446,2.372,2.372,0.0,0.0,-1,2.41,,,,,,,,False,False,False
2011-01-06,1294272000,2.372,2.372,2.35,2.372,1400,2.446,-0.07,-0.03,2.372,2.372,2.539,0.17,0.07,1,2.41,,,,,,,,False,False,False
2011-01-07,1294358400,2.49,2.539,2.49,2.539,3100,2.372,0.17,0.07,2.372,2.372,2.679,0.14,0.06,1,2.42,2.47,,,,,,,False,False,False
2011-01-10,1294617600,2.679,2.679,2.539,2.679,15900,2.372,0.31,0.13,2.372,2.539,2.539,-0.14,-0.05,-1,2.47,2.47,,,,,,,False,False,False
2011-01-11,1294704000,2.826,2.826,2.518,2.539,1600,2.372,0.17,0.07,2.539,2.679,2.585,0.05,0.02,1,2.5,2.47,,,,,,,False,False,False
2011-01-12,1294790400,2.585,2.585,2.585,2.585,100,2.539,0.05,0.02,2.679,2.539,2.49,-0.09,-0.03,-1,2.54,2.48,,,,,,,False,False,False
2011-01-13,1294876800,2.585,2.585,2.446,2.49,4300,2.679,-0.19,-0.07,2.539,2.585,2.657,0.17,0.07,1,2.57,2.49,,,,,,,False,False,False
2011-01-14,1294963200,2.467,2.657,2.446,2.657,8000,2.539,0.12,0.05,2.585,2.49,2.585,-0.07,-0.03,-1,2.59,2.51,,,,,,,False,False,False
2011-01-17,1295222400,2.539,2.585,2.539,2.585,200,2.585,0.0,0.0,2.49,2.657,2.585,0.0,0.0,-1,2.57,2.52,,,,,,,False,False,False
2011-01-18,1295308800,2.612,2.657,2.539,2.585,3000,2.49,0.09,0.04,2.657,2.585,2.49,-0.09,-0.03,-1,2.58,2.54,,,,,,,False,False,False
2011-01-19,1295395200,2.612,2.634,2.49,2.49,15700,2.657,-0.17,-0.06,2.585,2.585,2.49,0.0,0.0,-1,2.56,2.55,,,,,,,False,False,False
2011-01-20,1295481600,2.657,2.657,2.49,2.49,2600,2.585,-0.09,-0.03,2.585,2.49,2.612,0.12,0.05,1,2.56,2.56,,,,,,,False,False,False
2011-01-21,1295568000,2.49,2.612,2.49,2.612,200,2.585,0.03,0.01,2.49,2.49,2.729,0.12,0.05,1,2.55,2.57,2.52,,,,,,False,False,False
2011-01-24,1295827200,2.729,2.729,2.729,2.729,17400,2.49,0.24,0.1,2.49,2.612,2.847,0.12,0.04,1,2.58,2.58,2.52,,,,,,False,False,False
2011-01-25,1295913600,2.92,2.92,2.847,2.847,17300,2.49,0.36,0.14,2.612,2.729,2.801,-0.05,-0.02,-1,2.63,2.61,2.54,,,,,,False,False,False
2011-01-26,1296000000,2.897,2.897,2.752,2.801,5800,2.612,0.19,0.07,2.729,2.847,2.801,0.0,0.0,-1,2.7,2.63,2.55,,,,,,False,False,False
2011-01-27,1296086400,2.826,2.847,2.775,2.801,12400,2.729,0.07,0.03,2.847,2.801,2.897,0.1,0.04,1,2.76,2.66,2.57,,,,,,False,False,False
2011-01-28,1296172800,2.847,3.015,2.801,2.897,19300,2.847,0.05,0.02,2.801,2.801,2.92,0.02,0.01,1,2.82,2.68,2.59,,,,,,False,False,False
2011-02-08,1297123200,2.871,2.92,2.847,2.92,12700,2.801,0.12,0.04,2.801,2.897,2.706,-0.21,-0.07,-1,2.85,2.72,2.62,,,,,,False,False,False
2011-02-09,1297209600,2.49,2.706,2.49,2.706,4500,2.801,-0.1,-0.04,2.897,2.92,2.706,0.0,0.0,-1,2.82,2.73,2.63,,,,,,False,False,False
2011-02-10,1297296000,2.612,2.706,2.612,2.706,2500,2.897,-0.19,-0.07,2.92,2.706,2.657,-0.05,-0.02,-1,2.81,2.75,2.65,,,,,,False,False,False
2011-02-11,1297382400,2.657,2.657,2.657,2.657,1000,2.92,-0.26,-0.09,2.706,2.706,2.657,0.0,0.0,-1,2.78,2.77,2.67,,,,,,False,False,False
2011-02-14,1297641600,2.657,2.657,2.657,2.657,0,2.706,-0.05,-0.02,2.706,2.657,2.49,-0.17,-0.06,-1,2.73,2.77,2.67,,,,,,False,False,False
2011-02-15,1297728000,2.49,2.518,2.49,2.49,700,2.706,-0.22,-0.08,2.657,2.657,2.634,0.14,0.06,1,2.64,2.75,2.66,,,,,,False,False,False
2011-02-16,1297814400,2.327,2.634,2.327,2.634,4100,2.657,-0.02,-0.01,2.657,2.49,2.182,-0.45,-0.17,-1,2.63,2.73,2.67,,,,,,False,False,False
2011-02-17,1297900800,2.327,2.327,2.182,2.182,500,2.657,-0.48,-0.18,2.49,2.634,2.372,0.19,0.09,1,2.52,2.66,2.65,,,,,,False,False,False
2011-02-18,1297987200,2.372,2.372,2.372,2.372,100,2.49,-0.12,-0.05,2.634,2.182,2.372,0.0,0.0,-1,2.47,2.62,2.64,,,,,,False,False,False
2011-02-21,1298246400,2.372,2.372,2.372,2.372,0,2.634,-0.26,-0.1,2.182,2.372,2.372,0.0,0.0,-1,2.41,2.57,2.63,,,,,,False,False,False
2011-02-22,1298332800,2.372,2.372,2.372,2.372,0,2.182,0.19,0.09,2.372,2.372,2.422,0.05,0.02,1,2.39,2.51,2.62,,,,,,False,False,False
2011-02-23,1298419200,2.422,2.422,2.422,2.422,100,2.372,0.05,0.02,2.372,2.372,2.422,0.0,0.0,-1,2.34,2.49,2.61,,,,,,False,False,False
2011-02-24,1298505600,2.422,2.422,2.422,2.422,0,2.372,0.05,0.02,2.372,2.422,2.422,0.0,0.0,-1,2.39,2.46,2.6,,,,,,False,False,False
2011-02-25,1298592000,2.422,2.422,2.422,2.422,0,2.372,0.05,0.02,2.422,2.422,2.422,0.0,0.0,-1,2.4,2.43,2.6,,,,,,False,False,False
2011-02-28,1298851200,2.422,2.422,2.422,2.422,0,2.422,0.0,0.0,2.422,2.422,2.422,0.0,0.0,-1,2.41,2.41,2.59,,,,,,False,False,False
2011-03-01,1298937600,2.422,2.422,2.422,2.422,0,2.422,0.0,0.0,2.422,2.422,2.255,-0.17,-0.07,-1,2.42,2.4,2.58,,,,,,False,False,False
2011-03-02,1299024000,2.255,2.255,2.255,2.255,100,2.422,-0.17,-0.07,2.422,2.422,2.255,0.0,0.0,-1,2.39,2.37,2.55,,,,,,False,False,False
2011-03-03,1299110400,2.255,2.255,2.255,2.255,0,2.422,-0.17,-0.07,2.422,2.255,2.255,0.0,0.0,-1,2.36,2.37,2.52,,,,,,False,False,False
2011-03-04,1299196800,2.255,2.255,2.255,2.255,0,2.422,-0.17,-0.07,2.255,2.255,2.255,0.0,0.0,-1,2.32,2.36,2.49,,,,,,False,False,False
2011-03-07,1299456000,2.255,2.255,2.255,2.255,0,2.255,0.0,0.0,2.255,2.255,2.231,-0.02,-0.01,-1,2.29,2.35,2.46,,,,,,False,False,False
2011-03-08,1299542400,2.231,2.231,2.231,2.231,100,2.255,-0.02,-0.01,2.255,2.255,2.231,0.0,0.0,-1,2.25,2.34,2.43,,,,,,False,False,False
2011-03-09,1299628800,2.231,2.231,2.231,2.231,0,2.255,-0.02,-0.01,2.255,2.231,2.209,-0.02,-0.01,-1,2.25,2.32,2.4,,,,,,False,False,False
2011-03-10,1299715200,2.087,2.231,2.087,2.209,3200,2.255,-0.05,-0.02,2.231,2.231,1.969,-0.24,-0.11,-1,2.24,2.3,2.38,,,,,,False,False,False
2011-03-11,1299801600,1.969,2.017,1.969,1.969,8400,2.231,-0.26,-0.12,2.231,2.209,1.874,-0.09,-0.05,-1,2.18,2.25,2.34,,,,,,False,False,False
2011-03-14,1300060800,1.897,1.897,1.851,1.874,3600,2.231,-0.36,-0.16,2.209,1.969,1.874,0.0,0.0,-1,2.1,2.2,2.3,2.48,,,,,False,False,False
2011-03-15,1300147200,1.874,1.874,1.874,1.874,0,2.209,-0.34,-0.15,1.969,1.874,1.851,-0.02,-0.01,-1,2.03,2.14,2.27,2.47,,,2.48,,False,False,False
2011-03-16,1300233600,1.851,1.851,1.851,1.851,2000,1.969,-0.12,-0.06,1.874,1.874,1.851,0.0,0.0,-1,1.96,2.1,2.23,2.45,,,2.47,,False,False,False
2011-03-17,1300320000,1.851,1.851,1.851,1.851,0,1.874,-0.02,-0.01,1.874,1.851,1.851,0.0,0.0,-1,1.88,2.06,2.22,2.44,,,2.45,,False,False,False
2011-03-18,1300406400,1.779,1.851,1.779,1.851,5500,1.874,-0.02,-0.01,1.851,1.851,1.83,-0.02,-0.01,-1,1.86,2.02,2.19,2.43,,,2.44,,False,False,False
2011-03-21,1300665600,1.851,1.851,1.779,1.83,6600,1.851,-0.02,-0.01,1.851,1.851,1.802,-0.03,-0.02,-1,1.85,1.98,2.16,2.42,,,2.43,,False,False,False
2011-03-22,1300752000,1.802,1.802,1.802,1.802,0,1.851,-0.05,-0.03,1.851,1.83,1.802,0.0,0.0,-1,1.84,1.93,2.14,2.4,,,2.42,,False,False,False
2011-03-23,1300838400,1.802,1.802,1.802,1.802,1300,1.851,-0.05,-0.03,1.83,1.802,1.802,0.0,0.0,-1,1.83,1.89,2.1,2.39,,,2.4,,False,False,False
2011-03-24,1300924800,1.802,1.802,1.802,1.802,2700,1.83,-0.03,-0.02,1.802,1.802,1.802,0.0,0.0,-1,1.82,1.85,2.07,2.38,,,2.39,,False,False,False
2011-03-25,1301011200,1.802,1.802,1.802,1.802,0,1.802,0.0,0.0,1.802,1.802,1.802,0.0,0.0,-1,1.81,1.83,2.04,2.37,,,2.38,,False,False,False
2011-03-28,1301270400,1.802,1.802,1.802,1.802,6000,1.802,0.0,0.0,1.802,1.802,1.802,0.0,0.0,-1,1.8,1.83,2.01,2.36,,,2.37,,False,False,False
2011-03-29,1301356800,1.802,1.802,1.802,1.802,2000,1.802,0.0,0.0,1.802,1.802,1.802,0.0,0.0,-1,1.8,1.82,1.98,2.34,,,2.36,,False,False,False
2011-03-30,1301443200,1.802,1.802,1.802,1.802,500,1.802,0.0,0.0,1.802,1.802,1.802,0.0,0.0,-1,1.8,1.81,1.96,2.32,,,2.34,,False,False,False
