date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2019-11-27,1574812800,3.9,3.9,3.9,3.9,100,,,,,,4.0,0.1,0.03,1,,,,,,,,,False,False,False
2019-11-28,1574899200,4.0,4.0,4.0,4.0,100,,,,,3.9,3.4,-0.6,-0.15,-1,,,,,,,,,False,False,False
2019-11-29,1574985600,3.4,3.4,3.4,3.4,100,,,,3.9,4.0,3.9,0.5,0.15,1,,,,,,,,,False,False,False
2019-12-02,1575244800,3.9,3.9,3.9,3.9,100,3.9,0.0,0.0,4.0,3.4,3.4,-0.5,-0.13,-1,,,,,,,,,False,False,False
2019-12-03,1575331200,3.4,3.4,3.4,3.4,100,4.0,-0.6,-0.15,3.4,3.9,3.4,0.0,0.0,-1,3.72,,,,,,,,False,False,False
2019-12-04,1575417600,3.4,3.4,3.4,3.4,0,3.4,0.0,0.0,3.9,3.4,3.9,0.5,0.15,1,3.62,,,,,,,,False,False,False
2019-12-05,1575504000,3.9,3.9,3.9,3.9,300,3.9,0.0,0.0,3.4,3.4,3.4,-0.5,-0.13,-1,3.6,,,,,,,,False,False,False
2019-12-06,1575590400,3.4,3.4,3.4,3.4,100,3.4,0.0,0.0,3.4,3.9,3.9,0.5,0.15,1,3.6,,,,,,,,False,False,False
2019-12-09,1575849600,3.9,3.9,3.9,3.9,200,3.4,0.5,0.15,3.9,3.4,4.0,0.1,0.03,1,3.6,,,,,,,,False,False,False
2019-12-10,1575936000,4.0,4.0,4.0,4.0,100,3.9,0.1,0.03,3.4,3.9,4.0,0.0,0.0,-1,3.72,3.72,,,,,,,False,False,False
2019-12-11,1576022400,4.0,4.0,4.0,4.0,0,3.4,0.6,0.18,3.9,4.0,4.0,0.0,0.0,-1,3.84,3.73,,,,,,,False,False,False
2019-12-12,1576108800,3.7,4.0,3.7,4.0,5000,3.9,0.1,0.03,4.0,4.0,3.8,-0.2,-0.05,-1,3.86,3.73,,,,,,,False,False,False
2019-12-13,1576195200,3.8,3.8,3.8,3.8,0,4.0,-0.2,-0.05,4.0,4.0,3.8,0.0,0.0,-1,3.94,3.77,,,,,,,False,False,False
2019-12-16,1576454400,3.8,3.8,3.8,3.8,0,4.0,-0.2,-0.05,4.0,3.8,3.8,0.0,0.0,-1,3.92,3.76,,,,,,,False,False,False
2019-12-17,1576540800,3.8,3.8,3.8,3.8,0,4.0,-0.2,-0.05,3.8,3.8,3.8,0.0,0.0,-1,3.88,3.8,,,,,,,False,False,False
2019-12-18,1576627200,3.8,3.8,3.8,3.8,0,3.8,0.0,0.0,3.8,3.8,3.8,0.0,0.0,-1,3.84,3.84,,,,,,,False,False,False
2019-12-19,1576713600,3.8,3.8,3.8,3.8,0,3.8,0.0,0.0,3.8,3.8,3.8,0.0,0.0,-1,3.8,3.83,,,,,,,False,False,False
2019-12-20,1576800000,3.8,3.8,3.8,3.8,0,3.8,0.0,0.0,3.8,3.8,3.8,0.0,0.0,-1,3.8,3.87,,,,,,,False,False,False
2019-12-23,1577059200,3.8,3.8,3.8,3.8,0,3.8,0.0,0.0,3.8,3.8,3.8,0.0,0.0,-1,3.8,3.86,,,,,,,False,False,False
2019-12-24,1577145600,3.8,3.8,3.8,3.8,0,3.8,0.0,0.0,3.8,3.8,3.8,0.0,0.0,-1,3.8,3.84,3.78,,,,,,False,False,False
2019-12-25,1577232000,3.8,3.8,3.8,3.8,0,3.8,0.0,0.0,3.8,3.8,3.8,0.0,0.0,-1,3.8,3.82,3.77,,,,,,False,False,False
2019-12-26,1577318400,3.8,3.8,3.8,3.8,0,3.8,0.0,0.0,3.8,3.8,4.0,0.2,0.05,1,3.8,3.8,3.76,,,,,,False,False,False
2019-12-27,1577404800,4.0,4.0,4.0,4.0,600,3.8,0.2,0.05,3.8,3.8,4.0,0.0,0.0,-1,3.84,3.82,3.8,,,,,,False,False,False
2019-12-30,1577664000,4.0,4.0,4.0,4.0,0,3.8,0.2,0.05,3.8,4.0,4.0,0.0,0.0,-1,3.88,3.84,3.8,,,,,,False,False,False
2019-12-31,1577750400,4.0,4.0,4.0,4.0,0,3.8,0.2,0.05,4.0,4.0,4.0,0.0,0.0,-1,3.92,3.86,3.83,,,,,,False,False,False
2020-01-02,1577923200,4.0,4.0,4.0,4.0,1100,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,-1,3.96,3.88,3.86,,,,,,False,False,False
2020-01-03,1578009600,4.0,4.0,4.0,4.0,0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,-1,4.0,3.9,3.86,,,,,,False,False,False
2020-01-06,1578268800,4.0,4.0,4.0,4.0,0,4.0,0.0,0.0,4.0,4.0,3.7,-0.3,-0.08,-1,4.0,3.92,3.9,,,,,,False,False,False
2020-01-07,1578355200,3.7,3.7,3.7,3.7,500,4.0,-0.3,-0.08,4.0,4.0,3.7,0.0,0.0,-1,3.94,3.91,3.88,,,,,,False,False,False
2020-01-08,1578441600,3.7,3.7,3.7,3.7,0,4.0,-0.3,-0.08,4.0,3.7,3.7,0.0,0.0,-1,3.88,3.9,3.87,,,,,,False,False,False
2020-01-09,1578528000,3.7,3.7,3.7,3.7,0,4.0,-0.3,-0.08,3.7,3.7,3.7,0.0,0.0,-1,3.82,3.89,3.85,,,,,,False,False,False
2020-01-10,1578614400,3.7,3.7,3.7,3.7,0,3.7,0.0,0.0,3.7,3.7,3.7,0.0,0.0,-1,3.76,3.88,3.84,,,,,,False,False,False
2020-01-13,1578873600,3.7,3.7,3.7,3.7,0,3.7,0.0,0.0,3.7,3.7,3.7,0.0,0.0,-1,3.7,3.85,3.84,,,,,,False,False,False
2020-01-14,1578960000,3.7,3.7,3.7,3.7,0,3.7,0.0,0.0,3.7,3.7,3.7,0.0,0.0,-1,3.7,3.82,3.83,,,,,,False,False,False
2020-01-15,1579046400,3.7,3.7,3.7,3.7,0,3.7,0.0,0.0,3.7,3.7,3.5,-0.2,-0.05,-1,3.7,3.79,3.82,,,,,,False,False,False
2020-01-16,1579132800,3.5,3.5,3.5,3.5,900,3.7,-0.2,-0.05,3.7,3.7,3.5,0.0,0.0,-1,3.66,3.74,3.81,,,,,,False,False,False
2020-01-17,1579219200,3.5,3.5,3.5,3.5,0,3.7,-0.2,-0.05,3.7,3.5,3.5,0.0,0.0,-1,3.62,3.69,3.79,,,,,,False,False,False
2020-01-20,1579478400,3.5,3.5,3.5,3.5,0,3.7,-0.2,-0.05,3.5,3.5,3.5,0.0,0.0,-1,3.58,3.64,3.78,,,,,,False,False,False
2020-01-21,1579564800,3.5,3.5,3.5,3.5,0,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,-1,3.54,3.62,3.76,,,,,,False,False,False
2020-01-22,1579651200,3.5,3.5,3.5,3.5,0,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,-1,3.5,3.6,3.75,,,,,,False,False,False
2020-01-30,1580342400,3.5,3.5,3.5,3.5,0,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,-1,3.5,3.58,3.74,,,,,,False,False,False
