date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2016-01-12,1452556800,6.519,6.519,6.519,6.519,0,,,,,,6.519,0.0,0.0,-1,,,,,,,,,False,False,False
2016-01-13,1452643200,6.519,6.519,6.519,6.519,0,,,,,6.519,6.519,0.0,0.0,-1,,,,,,,,,False,False,False
2016-01-14,1452729600,6.519,6.519,6.519,6.519,0,,,,6.519,6.519,6.519,0.0,0.0,-1,,,,,,,,,False,False,False
2016-01-15,1452816000,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,,,,,,,,,False,False,False
2016-01-18,1453075200,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,,,,,,,,False,False,False
2016-01-19,1453161600,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,,,,,,,,False,False,False
2016-01-20,1453248000,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,,,,,,,,False,False,False
2016-01-21,1453334400,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,,,,,,,,False,False,False
2016-01-22,1453420800,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,,,,,,,,False,False,False
2016-01-25,1453680000,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,6.52,,,,,,,False,False,False
2016-01-26,1453766400,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,6.52,,,,,,,False,False,False
2016-01-27,1453852800,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,6.52,,,,,,,False,False,False
2016-01-28,1453939200,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,6.52,,,,,,,False,False,False
2016-01-29,1454025600,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,6.52,,,,,,,False,False,False
2016-02-01,1454284800,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,6.52,,,,,,,False,False,False
2016-02-02,1454371200,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,6.52,,,,,,,False,False,False
2016-02-03,1454457600,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,6.52,,,,,,,False,False,False
2016-02-04,1454544000,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,6.52,,,,,,,False,False,False
2016-02-05,1454630400,6.519,6.519,6.519,6.519,0,6.519,0.0,0.0,6.519,6.519,6.519,0.0,0.0,-1,6.52,6.52,,,,,,,False,False,False
