date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2016-12-22,1482364800,9.255,9.255,9.255,9.255,0,,,,,,9.255,0.0,0.0,-1,,,,,,,,,False,False,False
2016-12-23,1482451200,9.255,9.255,9.255,9.255,0,,,,,9.255,9.255,0.0,0.0,-1,,,,,,,,,False,False,False
2016-12-26,1482710400,9.255,9.255,9.255,9.255,0,,,,9.255,9.255,9.255,0.0,0.0,-1,,,,,,,,,False,False,False
2016-12-27,1482796800,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,,,,,,,,,False,False,False
2016-12-28,1482883200,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,,,,,,,,False,False,False
2016-12-29,1482969600,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,,,,,,,,False,False,False
2016-12-30,1483056000,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,,,,,,,,False,False,False
2017-01-03,1483401600,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,,,,,,,,False,False,False
2017-01-04,1483488000,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,,,,,,,,False,False,False
2017-01-05,1483574400,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,,,,,,,False,False,False
2017-01-06,1483660800,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,,,,,,,False,False,False
2017-01-09,1483920000,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,,,,,,,False,False,False
2017-01-10,1484006400,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,,,,,,,False,False,False
2017-01-11,1484092800,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,,,,,,,False,False,False
2017-01-12,1484179200,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,,,,,,,False,False,False
2017-01-13,1484265600,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,,,,,,,False,False,False
2017-01-16,1484524800,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,,,,,,,False,False,False
2017-01-17,1484611200,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,,,,,,,False,False,False
2017-01-18,1484697600,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,,,,,,,False,False,False
2017-01-19,1484784000,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-01-20,1484870400,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-01-23,1485129600,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-01-24,1485216000,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-01-25,1485302400,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-02,1485993600,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-03,1486080000,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-06,1486339200,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-07,1486425600,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-08,1486512000,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-09,1486598400,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-10,1486684800,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-13,1486944000,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-14,1487030400,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-15,1487116800,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-16,1487203200,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-17,1487289600,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-20,1487548800,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-21,1487635200,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-22,1487721600,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-23,1487808000,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
2017-02-24,1487894400,9.255,9.255,9.255,9.255,0,9.255,0.0,0.0,9.255,9.255,9.255,0.0,0.0,-1,9.26,9.26,9.26,,,,,,False,False,False
