date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2017-11-20,1511136000,13.137,13.137,13.137,13.137,3000,,,,,,15.038,1.9,0.14,1,,,,,,,,,False,False,False
2017-11-21,1511222400,15.038,15.038,15.038,15.038,200,,,,,13.137,17.285,2.25,0.15,1,,,,,,,,,False,False,False
2017-11-22,1511308800,17.285,17.285,17.285,17.285,14200,,,,13.137,15.038,19.878,2.59,0.15,1,,,,,,,,,False,False,False
2017-11-23,1511395200,19.878,19.878,17.285,19.878,21000,13.137,6.74,0.51,15.038,17.285,22.73,2.85,0.14,1,,,,,,,,,False,False,False
2017-11-24,1511481600,22.73,22.73,22.73,22.73,24100,15.038,7.69,0.51,17.285,19.878,23.076,0.35,0.02,1,17.61,,,,,,,,False,False,False
2017-11-27,1511740800,26.101,26.101,22.643,23.076,28600,17.285,5.79,0.33,19.878,22.73,22.471,-0.61,-0.03,-1,19.6,,,,,,,,False,False,False
2017-11-28,1511827200,21.865,22.903,20.569,22.471,10300,19.878,2.59,0.13,22.73,23.076,20.569,-1.9,-0.08,-1,21.09,,,,,,,,False,False,False
2017-11-29,1511913600,20.742,20.742,19.013,20.569,10500,22.73,-2.16,-0.1,23.076,22.471,16.939,-3.63,-0.18,-1,21.74,,,,,,,,False,False,False
2017-11-30,1512000000,19.013,19.1,16.854,16.939,39900,23.076,-6.14,-0.27,22.471,20.569,16.335,-0.6,-0.04,-1,21.16,,,,,,,,False,False,False
2017-12-01,1512086400,15.383,17.285,15.383,16.335,27300,22.471,-6.14,-0.27,20.569,16.939,17.198,0.86,0.05,1,19.88,18.75,,,,,,,False,False,False
2017-12-04,1512345600,17.198,17.285,15.989,17.198,6800,20.569,-3.37,-0.16,16.939,16.335,16.42,-0.78,-0.05,-1,18.7,19.15,,,,,,,False,False,False
2017-12-05,1512432000,16.42,16.42,16.42,16.42,2100,16.939,-0.52,-0.03,16.335,17.198,15.816,-0.6,-0.04,-1,17.49,19.29,,,,,,,False,False,False
2017-12-06,1512518400,16.42,17.026,15.557,15.816,7300,16.335,-0.52,-0.03,17.198,16.42,16.335,0.52,0.03,1,16.54,19.14,,,,,,,False,False,False
2017-12-07,1512604800,15.557,16.42,15.557,16.335,3500,17.198,-0.86,-0.05,16.42,15.816,15.557,-0.78,-0.05,-1,16.42,18.79,,,,,,,False,False,False
2017-12-08,1512691200,15.989,15.989,15.557,15.557,6000,16.42,-0.86,-0.05,15.816,16.335,15.557,0.0,0.0,-1,16.27,18.07,,,,,,,False,False,False
2017-12-11,1512950400,15.729,15.729,15.557,15.557,3900,15.816,-0.26,-0.02,16.335,15.557,14.779,-0.78,-0.05,-1,15.94,17.32,,,,,,,False,False,False
2017-12-12,1513036800,15.125,15.21,14.692,14.779,6000,16.335,-1.56,-0.1,15.557,15.557,14.26,-0.52,-0.04,-1,15.61,16.55,,,,,,,False,False,False
2017-12-13,1513123200,14.865,14.865,14.26,14.26,2400,15.557,-1.3,-0.08,15.557,14.779,14.0,-0.26,-0.02,-1,15.3,15.92,,,,,,,False,False,False
2017-12-14,1513209600,14.519,14.606,14.0,14.0,6900,15.557,-1.56,-0.1,14.779,14.26,15.038,1.04,0.07,1,14.83,15.63,,,,,,,False,False,False
2017-12-15,1513296000,15.471,15.471,14.26,15.038,2900,14.779,0.26,0.02,14.26,14.0,14.346,-0.69,-0.05,-1,14.73,15.5,17.12,,,,,,False,False,False
2017-12-18,1513555200,14.606,14.692,14.346,14.346,4700,14.26,0.09,0.01,14.0,15.038,14.26,-0.09,-0.01,-1,14.48,15.21,17.18,,,,,,False,False,False
2017-12-19,1513641600,14.519,14.519,14.26,14.26,2700,14.0,0.26,0.02,15.038,14.346,14.346,0.09,0.01,1,14.38,14.99,17.14,,,,,,False,False,False
2017-12-20,1513728000,14.087,14.346,13.828,14.346,1700,15.038,-0.69,-0.05,14.346,14.26,13.828,-0.52,-0.04,-1,14.4,14.85,17.0,,,,,,False,False,False
2017-12-21,1513814400,13.655,14.0,13.655,13.828,2600,14.346,-0.52,-0.04,14.26,14.346,13.395,-0.43,-0.03,-1,14.36,14.6,16.69,,,,,,False,False,False
2017-12-22,1513900800,13.395,13.482,13.395,13.395,2400,14.26,-0.87,-0.06,14.346,13.828,13.051,-0.34,-0.03,-1,14.04,14.38,16.23,,,,,,False,False,False
2017-12-25,1514160000,13.395,13.395,13.051,13.051,3000,14.346,-1.3,-0.09,13.828,13.395,13.828,0.78,0.06,1,13.78,14.13,15.72,,,,,,False,False,False
2017-12-26,1514246400,14.692,14.692,13.828,13.828,6600,13.828,0.0,0.0,13.395,13.051,13.223,-0.6,-0.04,-1,13.69,14.04,15.29,,,,,,False,False,False
2017-12-27,1514332800,13.482,13.828,13.223,13.223,6000,13.395,-0.17,-0.01,13.051,13.828,13.223,0.0,0.0,-1,13.46,13.93,14.93,,,,,,False,False,False
2017-12-28,1514419200,13.828,13.828,13.051,13.223,2000,13.051,0.17,0.01,13.828,13.223,13.309,0.09,0.01,1,13.34,13.85,14.74,,,,,,False,False,False
2017-12-29,1514505600,14.692,14.692,13.223,13.309,3800,13.828,-0.52,-0.04,13.223,13.223,13.655,0.35,0.03,1,13.33,13.68,14.59,,,,,,False,False,False
2018-01-02,1514851200,13.828,13.828,13.655,13.655,500,13.223,0.43,0.03,13.223,13.309,13.828,0.17,0.01,1,13.45,13.61,14.41,,,,,,False,False,False
2018-01-03,1514937600,13.828,13.828,13.828,13.828,4400,13.223,0.6,0.05,13.309,13.655,12.099,-1.73,-0.13,-1,13.45,13.57,14.28,,,,,,False,False,False
2018-01-04,1515024000,13.569,13.742,12.099,12.099,26700,13.309,-1.21,-0.09,13.655,13.828,12.618,0.52,0.04,1,13.22,13.34,14.1,,,,,,False,False,False
2018-01-05,1515110400,13.051,14.26,12.531,12.618,24000,13.655,-1.04,-0.08,13.828,12.099,12.272,-0.35,-0.03,-1,13.1,13.22,13.91,,,,,,False,False,False
2018-01-08,1515369600,12.618,12.618,12.272,12.272,1700,13.828,-1.56,-0.11,12.099,12.618,12.878,0.61,0.05,1,12.89,13.11,13.75,,,,,,False,False,False
2018-01-09,1515456000,12.531,12.878,12.531,12.878,8600,12.099,0.78,0.06,12.618,12.272,14.346,1.47,0.11,1,12.74,13.09,13.61,,,,,,False,False,False
2018-01-10,1515542400,12.79,14.346,12.79,14.346,80100,12.618,1.73,0.14,12.272,12.878,16.075,1.73,0.12,1,12.84,13.15,13.59,,,,,,False,False,False
2018-01-11,1515628800,16.248,16.335,15.989,16.075,35200,12.272,3.8,0.31,12.878,14.346,14.692,-1.38,-0.09,-1,13.64,13.43,13.68,,,,,,False,False,False
2018-01-12,1515715200,16.075,16.075,14.519,14.692,6600,12.878,1.81,0.14,14.346,16.075,15.383,0.69,0.05,1,14.05,13.58,13.72,,,,,,False,False,False
2018-01-15,1515974400,14.692,15.557,13.482,15.383,18700,14.346,1.04,0.07,16.075,14.692,13.828,-1.55,-0.1,-1,14.67,13.78,13.73,,,,,,False,False,False
2018-01-16,1516060800,15.471,15.471,13.742,13.828,2800,16.075,-2.25,-0.14,14.692,15.383,13.915,0.09,0.01,1,14.86,13.8,13.71,,,,,,False,False,False
2018-01-17,1516147200,14.0,14.0,12.531,13.915,11100,14.692,-0.78,-0.05,15.383,13.828,13.655,-0.26,-0.02,-1,14.78,13.81,13.69,,,,,,False,False,False
2018-01-18,1516233600,13.655,13.655,13.655,13.655,0,15.383,-1.73,-0.11,13.828,13.915,14.692,1.04,0.08,1,14.29,13.97,13.66,,,,,,False,False,False
2018-01-19,1516320000,13.482,14.779,13.482,14.692,13500,13.828,0.86,0.06,13.915,13.655,13.742,-0.95,-0.06,-1,14.29,14.17,13.7,,,,,,False,False,False
2018-01-22,1516579200,14.692,14.692,13.742,13.742,3900,13.915,-0.17,-0.01,13.655,14.692,13.828,0.09,0.01,1,13.97,14.32,13.72,,,,,,False,False,False
2018-01-23,1516665600,14.434,14.692,13.828,13.828,3600,13.655,0.17,0.01,14.692,13.742,13.223,-0.6,-0.04,-1,13.97,14.42,13.75,,,,,,False,False,False
2018-01-24,1516752000,13.395,13.395,13.137,13.223,3500,14.692,-1.47,-0.1,13.742,13.828,12.963,-0.26,-0.02,-1,13.83,14.3,13.72,,,,,,False,False,False
2018-01-25,1516838400,13.828,13.828,12.963,12.963,9100,13.742,-0.78,-0.06,13.828,13.223,13.309,0.35,0.03,1,13.69,13.99,13.71,,,,,,False,False,False
2018-01-26,1516924800,13.309,13.309,13.223,13.309,4000,13.828,-0.52,-0.04,13.223,12.963,13.828,0.52,0.04,1,13.41,13.85,13.72,,,,,,False,False,False
