date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2009-12-11,1260489600,15.797,15.797,15.797,15.797,38350,,,,,,15.038,-0.76,-0.05,-1,,,,,,,,,False,False,False
2009-12-14,1260748800,15.038,15.038,15.038,15.038,330,,,,,15.797,14.345,-0.69,-0.05,-1,,,,,,,,,False,False,False
2009-12-15,1260835200,14.345,14.345,14.345,14.345,40,,,,15.797,15.038,13.644,-0.7,-0.05,-1,,,,,,,,,False,False,False
2009-12-16,1260921600,13.644,13.644,13.644,13.644,120,15.797,-2.15,-0.14,15.038,14.345,13.011,-0.63,-0.05,-1,,,,,,,,,False,False,False
2009-12-17,1261008000,13.011,13.011,13.011,13.011,510,15.038,-2.03,-0.13,14.345,13.644,12.431,-0.58,-0.04,-1,14.37,,,,,,,,False,False,False
2009-12-18,1261094400,13.011,13.243,12.372,12.431,117750,14.345,-1.91,-0.13,13.644,13.011,13.011,0.58,0.05,1,13.69,,,,,,,,False,False,False
2009-12-21,1261353600,13.011,13.011,12.482,13.011,20560,13.644,-0.63,-0.05,13.011,12.431,12.482,-0.53,-0.04,-1,13.29,,,,,,,,False,False,False
2009-12-22,1261440000,13.644,13.644,12.482,12.482,7840,13.011,-0.53,-0.04,12.431,13.011,12.773,0.29,0.02,1,12.92,,,,,,,,False,False,False
2009-12-23,1261526400,13.011,13.011,12.482,12.773,5070,12.431,0.34,0.03,13.011,12.482,12.482,-0.29,-0.02,-1,12.74,,,,,,,,False,False,False
2009-12-24,1261612800,12.773,12.773,12.192,12.482,28620,13.011,-0.53,-0.04,12.482,12.773,12.773,0.29,0.02,1,12.64,13.5,,,,,,,False,False,False
2009-12-25,1261699200,12.482,13.011,12.372,12.773,100580,12.482,0.29,0.02,12.773,12.482,12.192,-0.58,-0.05,-1,12.7,13.2,,,,,,,False,False,False
2009-12-28,1261958400,12.662,12.662,12.192,12.192,8510,12.773,-0.58,-0.05,12.482,12.773,12.431,0.24,0.02,1,12.54,12.91,,,,,,,False,False,False
2009-12-29,1262044800,12.482,12.482,11.901,12.431,4600,12.482,-0.05,-0.0,12.773,12.192,11.851,-0.58,-0.05,-1,12.53,12.72,,,,,,,False,False,False
2009-12-30,1262131200,12.022,12.431,11.851,11.851,24320,12.773,-0.92,-0.07,12.192,12.431,11.269,-0.58,-0.05,-1,12.35,12.54,,,,,,,False,False,False
2009-12-31,1262217600,11.611,11.611,11.269,11.269,52130,12.192,-0.92,-0.08,12.431,11.851,11.791,0.52,0.05,1,12.1,12.37,,,,,,,False,False,False
2010-01-04,1262563200,11.269,11.791,11.269,11.791,73420,12.431,-0.64,-0.05,11.851,11.269,12.372,0.58,0.05,1,11.91,12.31,,,,,,,False,False,False
2010-01-05,1262649600,12.372,12.372,12.192,12.372,58780,11.851,0.52,0.04,11.269,11.791,12.953,0.58,0.05,1,11.94,12.24,,,,,,,False,False,False
2010-01-06,1262736000,11.901,12.953,11.791,12.953,102650,11.269,1.68,0.15,11.791,12.372,13.593,0.64,0.05,1,12.05,12.29,,,,,,,False,False,False
2010-01-07,1262822400,12.953,13.593,12.773,13.593,110560,11.791,1.8,0.15,12.372,12.953,14.225,0.63,0.05,1,12.4,12.37,,,,,,,False,False,False
2010-01-08,1262908800,14.225,14.225,13.935,14.225,313750,12.372,1.85,0.15,12.953,13.593,14.926,0.7,0.05,1,12.99,12.54,13.02,,,,,,False,False,False
2010-01-11,1263168000,14.926,14.926,14.515,14.926,207060,12.953,1.97,0.15,13.593,14.225,15.618,0.69,0.05,1,13.61,12.76,12.98,,,,,,False,False,False
2010-01-12,1263254400,15.038,15.618,14.284,15.618,169460,13.593,2.03,0.15,14.225,14.926,15.618,0.0,0.0,-1,14.26,13.1,13.01,,,,,,False,False,False
