date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2010-12-15,1292371200,13.398,13.398,8.539,11.453,11200,,,,,,11.523,0.07,0.01,1,,,,,,,,,False,False,False
2010-12-16,1292457600,11.523,11.523,11.523,11.523,3000,,,,,11.453,10.76,-0.76,-0.07,-1,,,,,,,,,False,False,False
2010-12-17,1292544000,10.76,10.76,10.76,10.76,100,,,,11.453,11.523,10.413,-0.35,-0.03,-1,,,,,,,,,False,False,False
2010-12-20,1292803200,10.065,11.107,10.065,10.413,17000,11.453,-1.04,-0.09,11.523,10.76,8.941,-1.47,-0.14,-1,,,,,,,,,False,False,False
2010-12-21,1292889600,9.198,9.579,8.941,8.941,7100,11.523,-2.58,-0.22,10.76,10.413,9.648,0.71,0.08,1,10.62,,,,,,,,False,False,False
2010-12-22,1292976000,9.648,9.711,9.648,9.648,7600,10.76,-1.11,-0.1,10.413,8.941,10.1,0.45,0.05,1,10.26,,,,,,,,False,False,False
2010-12-23,1293062400,10.1,10.1,10.1,10.1,100,10.413,-0.31,-0.03,8.941,9.648,10.898,0.8,0.08,1,9.97,,,,,,,,False,False,False
2010-12-24,1293148800,10.898,10.898,10.898,10.898,0,8.941,1.96,0.22,9.648,10.1,9.455,-1.44,-0.13,-1,10.0,,,,,,,,False,False,False
2010-12-27,1293408000,9.455,9.455,9.455,9.455,6000,9.648,-0.19,-0.02,10.1,10.898,9.579,0.12,0.01,1,9.81,,,,,,,,False,False,False
2010-12-28,1293494400,10.343,10.343,9.579,9.579,3100,10.1,-0.52,-0.05,10.898,9.455,9.135,-0.44,-0.05,-1,9.94,10.28,,,,,,,False,False,False
2010-12-29,1293580800,9.003,9.135,8.941,9.135,13000,10.898,-1.76,-0.16,9.455,9.579,8.682,-0.45,-0.05,-1,9.83,10.05,,,,,,,False,False,False
2010-12-30,1293667200,8.682,8.682,8.682,8.682,400,9.455,-0.77,-0.08,9.579,9.135,9.004,0.32,0.04,1,9.55,9.76,,,,,,,False,False,False
2010-12-31,1293753600,8.811,9.004,8.811,9.004,9000,9.579,-0.58,-0.06,9.135,8.682,9.004,0.0,0.0,-1,9.17,9.59,,,,,,,False,False,False
2011-01-04,1294099200,9.004,9.004,9.004,9.004,200,9.135,-0.13,-0.01,8.682,9.004,8.489,-0.51,-0.06,-1,9.08,9.44,,,,,,,False,False,False
2011-01-05,1294185600,8.489,9.389,8.489,8.489,4000,8.682,-0.19,-0.02,9.004,9.004,9.004,0.51,0.06,1,8.86,9.4,,,,,,,False,False,False
2011-01-06,1294272000,9.004,9.004,9.004,9.004,400,9.004,0.0,0.0,9.004,8.489,9.004,0.0,0.0,-1,8.84,9.33,,,,,,,False,False,False
2011-01-07,1294358400,9.004,9.004,9.004,9.004,0,9.004,0.0,0.0,8.489,9.004,8.425,-0.58,-0.06,-1,8.9,9.23,,,,,,,False,False,False
2011-01-10,1294617600,8.682,8.682,8.425,8.425,5000,8.489,-0.06,-0.01,9.004,9.004,8.489,0.06,0.01,1,8.79,8.98,,,,,,,False,False,False
2011-01-11,1294704000,8.489,8.489,8.489,8.489,2300,9.004,-0.51,-0.06,9.004,8.425,8.489,0.0,0.0,-1,8.68,8.88,,,,,,,False,False,False
2011-01-12,1294790400,8.489,8.489,8.489,8.489,0,9.004,-0.51,-0.06,8.425,8.489,8.489,0.0,0.0,-1,8.68,8.77,9.52,,,,,,False,False,False
2011-01-13,1294876800,8.489,8.489,8.489,8.489,0,8.425,0.06,0.01,8.489,8.489,8.489,0.0,0.0,-1,8.58,8.71,9.38,,,,,,False,False,False
2011-01-14,1294963200,8.489,8.489,8.489,8.489,0,8.489,0.0,0.0,8.489,8.489,8.682,0.19,0.02,1,8.48,8.69,9.22,,,,,,False,False,False
2011-01-17,1295222400,8.811,8.811,8.682,8.682,3500,8.489,0.19,0.02,8.489,8.489,8.425,-0.26,-0.03,-1,8.53,8.66,9.12,,,,,,False,False,False
2011-01-18,1295308800,8.425,8.489,8.425,8.425,3000,8.489,-0.06,-0.01,8.489,8.682,8.489,0.06,0.01,1,8.51,8.6,9.02,,,,,,False,False,False
2011-01-19,1295395200,8.489,8.489,8.489,8.489,2000,8.489,0.0,0.0,8.682,8.425,8.36,-0.13,-0.02,-1,8.51,8.6,9.0,,,,,,False,False,False
2011-01-20,1295481600,8.425,8.425,8.36,8.36,3700,8.682,-0.32,-0.04,8.425,8.489,8.489,0.13,0.02,1,8.49,8.53,8.93,,,,,,False,False,False
2011-01-21,1295568000,8.811,8.811,8.489,8.489,2400,8.425,0.06,0.01,8.489,8.36,7.974,-0.52,-0.06,-1,8.49,8.48,8.85,,,,,,False,False,False
2011-01-24,1295827200,8.039,8.682,7.974,7.974,10000,8.489,-0.52,-0.06,8.36,8.489,7.717,-0.26,-0.03,-1,8.35,8.44,8.71,,,,,,False,False,False
2011-01-25,1295913600,7.781,7.974,7.653,7.717,8000,8.36,-0.64,-0.08,8.489,7.974,8.167,0.45,0.06,1,8.21,8.36,8.62,,,,,,False,False,False
2011-01-26,1296000000,8.167,8.167,8.167,8.167,1100,8.489,-0.32,-0.04,7.974,7.717,8.167,0.0,0.0,-1,8.14,8.33,8.55,,,,,,False,False,False
2011-01-27,1296086400,8.682,8.682,8.167,8.167,400,7.974,0.19,0.02,7.717,8.167,8.489,0.32,0.04,1,8.1,8.3,8.5,,,,,,False,False,False
2011-01-28,1296172800,8.489,8.618,8.489,8.489,5200,7.717,0.77,0.1,8.167,8.167,9.004,0.51,0.06,1,8.1,8.3,8.49,,,,,,False,False,False
2011-02-08,1297123200,9.004,9.004,9.004,9.004,100,8.167,0.84,0.1,8.167,8.489,8.425,-0.58,-0.06,-1,8.31,8.33,8.49,,,,,,False,False,False
2011-02-09,1297209600,8.682,8.682,8.425,8.425,2000,8.167,0.26,0.03,8.489,9.004,8.36,-0.07,-0.01,-1,8.45,8.33,8.46,,,,,,False,False,False
2011-02-10,1297296000,8.36,8.36,8.36,8.36,600,8.489,-0.13,-0.02,9.004,8.425,8.489,0.13,0.02,1,8.49,8.32,8.46,,,,,,False,False,False
2011-02-11,1297382400,8.489,8.553,8.489,8.489,8500,9.004,-0.51,-0.06,8.425,8.36,8.489,0.0,0.0,-1,8.55,8.33,8.43,,,,,,False,False,False
2011-02-14,1297641600,8.489,8.489,8.489,8.489,1200,8.425,0.06,0.01,8.36,8.489,9.004,0.51,0.06,1,8.55,8.33,8.41,,,,,,False,False,False
2011-02-15,1297728000,9.004,9.004,9.004,9.004,100,8.36,0.64,0.08,8.489,8.489,8.425,-0.58,-0.06,-1,8.55,8.43,8.43,,,,,,False,False,False
2011-02-16,1297814400,8.425,8.425,8.425,8.425,2800,8.489,-0.06,-0.01,8.489,9.004,8.039,-0.39,-0.05,-1,8.55,8.5,8.43,,,,,,False,False,False
2011-02-17,1297900800,8.039,8.039,7.91,8.039,3900,8.489,-0.45,-0.05,9.004,8.425,8.167,0.13,0.02,1,8.49,8.49,8.41,,,,,,False,False,False
2011-02-18,1297987200,8.167,8.167,8.167,8.167,500,9.004,-0.84,-0.09,8.425,8.039,7.781,-0.39,-0.05,-1,8.42,8.49,8.39,,,,,,False,False,False
2011-02-21,1298246400,7.717,7.781,7.717,7.781,2100,8.425,-0.64,-0.08,8.039,8.167,7.717,-0.06,-0.01,-1,8.28,8.42,8.36,,,,,,False,False,False
2011-02-22,1298332800,7.717,7.717,7.717,7.717,0,8.039,-0.32,-0.04,8.167,7.781,7.717,0.0,0.0,-1,8.03,8.29,8.31,,,,,,False,False,False
2011-02-23,1298419200,7.717,7.717,7.717,7.717,2000,8.167,-0.45,-0.06,7.781,7.717,7.717,0.0,0.0,-1,7.88,8.22,8.27,,,,,,False,False,False
2011-02-24,1298505600,7.717,7.717,7.717,7.717,0,7.781,-0.06,-0.01,7.717,7.717,7.332,-0.38,-0.05,-1,7.82,8.15,8.23,,,,,,False,False,False
2011-02-25,1298592000,7.46,7.46,7.268,7.332,8500,7.717,-0.38,-0.05,7.717,7.717,7.525,0.19,0.03,1,7.65,8.04,8.18,,,,,,False,False,False
2011-02-28,1298851200,7.332,7.525,7.332,7.525,2600,7.717,-0.19,-0.02,7.717,7.332,7.46,-0.07,-0.01,-1,7.6,7.94,8.14,,,,,,False,False,False
2011-03-01,1298937600,7.46,7.46,7.46,7.46,100,7.717,-0.26,-0.03,7.332,7.525,7.074,-0.39,-0.05,-1,7.55,7.79,8.11,,,,,,False,False,False
2011-03-02,1299024000,7.46,7.46,7.074,7.074,700,7.332,-0.26,-0.04,7.525,7.46,7.268,0.19,0.03,1,7.42,7.65,8.08,,,,,,False,False,False
2011-03-03,1299110400,7.268,7.268,7.268,7.268,0,7.525,-0.26,-0.03,7.46,7.074,7.268,0.0,0.0,-1,7.33,7.58,8.03,8.69,,,,,False,False,False
