date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2018-10-22,1540166400,2.569,2.569,2.569,2.569,0,,,,,,2.569,0.0,0.0,-1,,,,,,,,,False,False,False
2018-10-23,1540252800,2.569,2.569,2.569,2.569,0,,,,,2.569,2.569,0.0,0.0,-1,,,,,,,,,False,False,False
2018-10-24,1540339200,2.569,2.569,2.569,2.569,0,,,,2.569,2.569,2.569,0.0,0.0,-1,,,,,,,,,False,False,False
2018-10-25,1540425600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,,,,,,,,,False,False,False
2018-10-26,1540512000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,,,,,,,,False,False,False
2018-10-29,1540771200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,,,,,,,,False,False,False
2018-10-30,1540857600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,,,,,,,,False,False,False
2018-10-31,1540944000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,,,,,,,,False,False,False
2018-11-01,1541030400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,,,,,,,,False,False,False
2018-11-02,1541116800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,,,,,,,False,False,False
2018-11-05,1541376000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,,,,,,,False,False,False
2018-11-06,1541462400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,,,,,,,False,False,False
2018-11-07,1541548800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,,,,,,,False,False,False
2018-11-08,1541635200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,,,,,,,False,False,False
2018-11-09,1541721600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,,,,,,,False,False,False
2018-11-12,1541980800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,,,,,,,False,False,False
2018-11-13,1542067200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,,,,,,,False,False,False
2018-11-14,1542153600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,,,,,,,False,False,False
2018-11-15,1542240000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,,,,,,,False,False,False
2018-11-16,1542326400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-11-19,1542585600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-11-20,1542672000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-11-21,1542758400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-11-22,1542844800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-11-23,1542931200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-11-26,1543190400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-11-27,1543276800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-11-28,1543363200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-11-29,1543449600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-11-30,1543536000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-03,1543795200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-04,1543881600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-05,1543968000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-06,1544054400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-07,1544140800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-10,1544400000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-11,1544486400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-12,1544572800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-13,1544659200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-14,1544745600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-17,1545004800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-18,1545091200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-19,1545177600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-20,1545264000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-21,1545350400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-24,1545609600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-25,1545696000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-26,1545782400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-27,1545868800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,,,,,,False,False,False
2018-12-28,1545955200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,,,False,False,False
2019-01-02,1546387200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-03,1546473600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-04,1546560000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-07,1546819200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-08,1546905600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-09,1546992000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-10,1547078400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-11,1547164800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-14,1547424000,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-15,1547510400,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-16,1547596800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-17,1547683200,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-18,1547769600,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
2019-01-21,1548028800,2.569,2.569,2.569,2.569,0,2.569,0.0,0.0,2.569,2.569,2.569,0.0,0.0,-1,2.57,2.57,2.57,2.57,,,2.57,,False,False,False
