date,timestamp,open,high,low,close,volume
2005-07-14,1121299200,12.03,14.28,11.63,14.28,0
2005-07-18,1121644800,12.83,12.83,12.83,12.83,0
2005-07-20,1121817600,13.63,13.63,13.63,13.63,0
2005-07-22,1121990400,12.83,12.83,12.83,12.83,0
2005-07-25,1122249600,12.83,12.83,12.83,12.83,0
2005-07-27,1122422400,12.83,12.83,12.83,12.83,0
2005-07-29,1122595200,12.75,13.07,12.75,13.07,0
2005-08-08,1123459200,13.63,13.63,13.63,13.63,0
2005-08-15,1124064000,13.63,13.63,13.63,13.63,0
2005-08-17,1124236800,13.63,13.63,13.63,13.63,0
2005-08-19,1124409600,13.63,13.63,13.63,13.63,0
2005-08-22,1124668800,13.63,13.63,13.63,13.63,0
2005-08-24,1124841600,13.63,13.63,13.63,13.63,0
2005-08-26,1125014400,13.63,13.63,13.63,13.63,0
2005-08-29,1125273600,13.63,13.63,13.63,13.63,0
2005-08-31,1125446400,13.63,13.63,13.63,13.63,0
2005-09-09,1126224000,15.0,15.0,15.0,15.0,0
2005-09-11,1126396800,9.54,9.54,9.54,9.54,0
2005-09-12,1126483200,9.62,9.62,9.62,9.62,0
2005-09-14,1126656000,15.0,15.0,15.0,15.0,0
2005-09-16,1126828800,15.0,15.0,15.0,15.0,0
2005-09-19,1127088000,13.55,16.44,13.55,16.44,0
2005-09-21,1127260800,14.44,14.44,14.44,14.44,0
2005-09-23,1127433600,12.99,12.99,12.99,12.99,0
2005-09-26,1127692800,11.71,11.71,11.71,11.71,0
2005-09-28,1127865600,10.59,10.59,10.59,10.59,0
2005-09-30,1128038400,10.59,10.59,10.59,10.59,0
2005-10-08,1128729600,13.63,13.63,13.63,13.63,0
2005-10-10,1128902400,10.59,10.59,10.59,10.59,0
2005-10-14,1129248000,8.66,8.66,8.66,8.66,0
2005-10-17,1129507200,8.02,8.02,8.02,8.02,0
2005-10-19,1129680000,8.82,8.82,8.82,8.82,0
2005-10-21,1129852800,8.82,8.82,8.82,8.82,0
2005-10-24,1130112000,8.82,8.82,8.82,8.82,0
2005-10-26,1130284800,8.82,8.82,8.82,8.82,0
2005-10-28,1130457600,9.7,9.7,9.7,9.7,0
2005-10-31,1130716800,9.7,9.7,9.7,9.7,0
2005-11-02,1130889600,8.738,8.738,8.738,8.738,100
2005-11-07,1131321600,9.54,9.54,9.54,9.54,100
2005-11-11,1131667200,9.54,9.54,9.54,9.54,0
2005-11-14,1131926400,9.54,9.54,9.54,9.54,0
2005-11-16,1132099200,9.62,9.62,9.62,9.62,200
2005-11-18,1132272000,9.62,9.62,9.62,9.62,0
2005-11-21,1132531200,9.62,9.62,9.62,9.62,0
2005-11-23,1132704000,9.62,9.62,9.62,9.62,3300
2005-11-25,1132876800,9.62,9.62,9.62,9.62,0
2005-11-28,1133136000,9.62,9.62,9.62,9.62,0
2005-11-30,1133308800,9.62,9.62,9.62,9.62,200
2005-12-08,1134000000,13.63,13.63,13.63,13.63,0
2005-12-09,1134086400,15.0,15.0,15.0,15.0,0
2005-12-10,1134172800,9.54,9.54,9.54,9.54,0
2005-12-12,1134345600,9.62,9.62,9.62,9.62,0
2005-12-14,1134518400,9.62,9.62,9.62,9.62,0
2005-12-16,1134691200,8.66,8.66,8.66,8.66,200
2005-12-19,1134950400,8.66,8.66,8.66,8.66,0
2005-12-21,1135123200,8.66,8.66,8.66,8.66,0
2005-12-23,1135296000,8.66,8.66,8.66,8.66,0
2005-12-26,1135555200,8.66,8.66,8.66,8.66,0
2005-12-28,1135728000,8.66,8.66,8.66,8.66,0
2005-12-30,1135900800,8.66,8.66,8.66,8.66,0
2006-01-04,1136332800,8.66,8.66,8.66,8.66,0
2006-01-06,1136505600,8.66,8.66,8.66,8.66,0
2006-01-09,1136764800,8.66,8.66,8.66,8.66,0
2006-01-11,1136937600,8.66,8.66,8.66,8.66,0
2006-01-13,1137110400,8.66,8.66,8.66,8.66,0
2006-01-16,1137369600,8.66,8.66,8.66,8.66,0
2006-01-18,1137542400,8.66,8.66,8.66,8.66,0
2006-01-20,1137715200,8.66,8.66,8.66,8.66,0
2006-01-23,1137974400,8.66,8.66,8.66,8.66,0
2006-01-25,1138147200,8.66,8.66,8.66,8.66,0
2006-01-27,1138320000,8.66,8.66,8.66,8.66,0
2006-02-06,1139184000,8.66,8.66,8.66,8.66,0
2006-02-08,1139356800,8.66,8.66,8.66,8.66,0
2006-02-10,1139529600,8.66,8.66,8.66,8.66,0
2006-02-13,1139788800,9.22,9.22,9.22,9.22,100
2006-02-15,1139961600,9.22,9.22,9.22,9.22,0
2006-02-17,1140134400,9.22,9.22,9.22,9.22,0
2006-02-20,1140393600,9.22,9.22,9.22,9.22,0
2006-02-22,1140566400,9.22,9.22,9.22,9.22,0
2006-02-24,1140739200,9.22,9.22,9.22,9.22,0
2006-02-27,1140998400,9.22,9.22,9.22,9.22,0
2006-03-01,1141171200,9.22,9.22,9.22,9.22,0
2006-03-03,1141344000,9.22,9.22,9.22,9.22,0
2006-03-06,1141603200,5.6,5.6,5.6,5.6,0
2006-03-08,1141776000,5.6,5.6,5.6,5.6,0
2006-03-10,1141948800,5.6,5.6,5.6,5.6,0
2006-03-13,1142208000,5.6,5.6,5.6,5.6,0
2006-03-15,1142380800,5.6,5.6,5.6,5.6,100
2006-03-17,1142553600,5.69,5.69,5.69,5.69,100
2006-03-20,1142812800,5.69,5.69,5.69,5.69,0
2006-03-22,1142985600,5.89,6.04,5.89,5.99,1300
2006-03-24,1143158400,5.94,5.94,5.94,5.94,0
2006-03-27,1143417600,6.52,6.52,6.52,6.52,200
2006-03-29,1143590400,7.15,7.15,7.15,7.15,400
2006-03-31,1143763200,7.79,7.79,7.79,7.79,300
2006-04-03,1144022400,8.47,8.47,8.47,8.47,600
2006-04-05,1144195200,9.34,9.39,9.1,9.3,5100
2006-04-07,1144368000,8.88,10.39,8.88,9.25,13100
2006-04-10,1144627200,9.5,9.5,9.5,9.5,700
2006-04-12,1144800000,9.45,9.45,9.4,9.45,300
2006-04-14,1144972800,8.91,8.91,8.91,8.91,0
2006-04-17,1145232000,9.1,9.35,9.1,9.25,4500
2006-04-19,1145404800,15.4,15.4,15.4,15.4,900
2006-04-21,1145577600,9.69,10.17,9.69,9.98,5900
2006-04-24,1145836800,10.46,11.25,10.46,11.0,4200
2006-04-26,1146009600,11.83,11.83,11.83,11.83,3700
2006-04-28,1146182400,12.7,12.7,11.89,12.17,4800
2006-05-03,1146614400,12.69,12.93,11.75,12.17,800
2006-05-05,1146787200,13.53,13.62,12.47,13.15,4600
2006-05-08,1147046400,15.11,15.11,13.6,14.6,2100
2006-05-10,1147219200,12.9,12.9,12.9,12.9,800
2006-05-12,1147392000,12.88,14.41,12.88,14.16,7000
2006-05-15,1147651200,12.61,12.7,12.61,12.66,1500
2006-05-17,1147824000,12.39,12.39,11.15,11.39,1100
2006-05-19,1147996800,12.17,12.17,12.17,12.17,200
2006-05-22,1148256000,11.93,11.93,11.93,11.93,100
2006-05-24,1148428800,11.64,11.64,11.25,11.44,200
2006-05-26,1148601600,11.73,11.73,11.49,11.69,1100
2006-05-29,1148860800,11.93,11.93,11.93,11.93,100
2006-05-31,1149033600,11.44,11.44,11.44,11.44,100
2006-06-01,1149120000,11.44,11.44,11.44,11.44,0
2006-06-02,1149206400,11.44,11.44,11.44,11.44,0
2006-06-05,1149465600,11.44,11.44,11.44,11.44,0
2006-06-06,1149552000,10.46,10.46,9.43,10.32,900
2006-06-07,1149638400,10.23,10.23,10.23,10.23,600
2006-06-08,1149724800,10.23,10.23,10.23,10.23,0
2006-06-09,1149811200,10.23,10.23,10.23,10.23,0
2006-06-12,1150070400,9.63,9.63,9.15,9.25,2700
2006-06-13,1150156800,9.35,9.35,9.35,9.35,0
2006-06-14,1150243200,9.69,9.94,9.69,9.74,1300
2006-06-15,1150329600,9.5,9.5,9.5,9.5,100
2006-06-16,1150416000,9.74,9.74,9.74,9.74,100
2006-06-19,1150675200,9.74,9.74,9.74,9.74,0
2006-06-20,1150761600,9.64,9.64,9.54,9.59,700
2006-06-21,1150848000,9.64,9.64,9.64,9.64,100
2006-06-22,1150934400,9.64,9.64,9.64,9.64,0
2006-06-23,1151020800,9.64,9.64,9.64,9.64,0
2006-06-26,1151280000,9.64,9.64,9.64,9.64,0
2006-06-27,1151366400,9.64,9.64,9.64,9.64,0
