date,timestamp,open,high,low,close,volume
2010-07-26,1280102400,14.308,14.308,13.075,13.583,527880
2010-07-27,1280188800,13.75,13.75,12.95,13.75,215010
2010-07-28,1280275200,13.225,14.167,13.225,14.167,204360
2010-07-29,1280361600,14.167,14.167,13.583,13.583,218080
2010-07-30,1280448000,13.483,13.917,12.9,13.917,186020
2010-08-02,1280707200,13.917,13.917,13.775,13.917,138570
2010-08-03,1280793600,13.992,13.992,13.333,13.333,47650
2010-08-04,1280880000,13.683,13.833,12.667,12.667,64780
2010-08-05,1280966400,12.958,12.958,12.667,12.667,87160
2010-08-06,1281052800,13.05,13.125,12.467,12.833,123310
2010-08-09,1281312000,13.075,13.075,12.267,12.417,78960
2010-08-10,1281398400,12.208,12.508,11.917,11.917,183050
2010-08-11,1281484800,11.833,12.417,11.833,12.417,224160
2010-08-12,1281571200,12.4,12.833,11.883,12.833,391780
2010-08-13,1281657600,12.883,13.25,12.375,13.25,208460
2010-08-16,1281916800,13.525,13.667,13.083,13.667,176600
2010-08-17,1282003200,13.675,13.967,13.092,13.75,144620
2010-08-18,1282089600,13.742,13.808,13.083,13.083,132960
2010-08-19,1282176000,13.3,13.3,12.575,13.083,68990
2010-08-20,1282262400,13.083,13.083,12.433,13.083,100900
2010-08-23,1282521600,13.158,13.158,12.5,12.5,54680
2010-08-24,1282608000,12.658,12.8,11.925,12.583,113720
2010-08-25,1282694400,12.55,12.55,11.967,12.333,160770
2010-08-26,1282780800,12.925,12.925,12.05,12.417,133590
2010-08-27,1282867200,12.483,12.483,12.042,12.333,49200
2010-08-30,1283126400,12.467,12.692,12.1,12.25,144670
2010-08-31,1283212800,12.317,12.317,12.167,12.167,70170
2010-09-01,1283299200,12.042,12.192,11.75,11.75,53080
2010-09-06,1283731200,12.183,12.333,12.042,12.333,75010
2010-09-07,1283817600,12.283,12.575,12.283,12.5,47060
2010-09-08,1283904000,12.5,12.5,11.917,12.5,61820
2010-09-09,1283990400,12.525,12.525,12.083,12.083,49330
2010-09-10,1284076800,12.033,12.325,11.667,11.667,98740
2010-09-13,1284336000,11.475,12.208,11.475,11.917,189270
2010-09-14,1284422400,12.208,12.208,11.625,11.917,153980
2010-09-15,1284508800,12.05,12.05,11.683,11.833,232550
2010-09-16,1284595200,11.992,11.992,11.7,11.917,44900
2010-09-17,1284681600,11.708,12.075,11.708,12.0,26760
2010-09-20,1284940800,12.075,12.367,11.783,12.0,70500
2010-09-21,1285027200,11.992,11.992,11.7,11.917,94940
2010-09-22,1285113600,11.925,12.075,11.85,12.0,121740
2010-09-23,1285200000,12.125,12.125,11.758,11.833,103120
2010-09-24,1285286400,11.675,12.333,11.675,12.333,1398630
2010-09-27,1285545600,12.658,12.8,12.367,12.583,254700
2010-09-28,1285632000,12.6,12.742,12.083,12.083,192580
2010-09-29,1285718400,12.1,12.25,12.1,12.25,81210
2010-09-30,1285804800,12.117,12.342,11.675,11.75,284370
2010-10-01,1285891200,11.925,11.925,11.333,11.333,119750
2010-10-04,1286150400,11.833,11.833,10.833,11.0,73620
2010-10-05,1286236800,10.583,10.917,10.5,10.583,175890
2010-10-06,1286323200,10.917,11.083,10.75,11.083,81050
2010-10-07,1286409600,11.083,11.583,11.083,11.333,124200
2010-10-08,1286496000,11.5,11.5,11.083,11.417,69110
2010-10-11,1286755200,11.25,11.417,11.25,11.417,35770
2010-10-12,1286841600,11.167,11.25,11.0,11.25,49890
2010-10-13,1286928000,11.083,11.25,11.083,11.083,35740
2010-10-14,1287014400,11.083,11.333,11.083,11.25,96410
2010-10-15,1287100800,11.167,11.167,11.083,11.083,25010
2010-10-18,1287360000,11.083,11.25,11.0,11.083,65330
2010-10-19,1287446400,11.083,11.083,10.583,11.083,67210
2010-10-20,1287532800,10.833,10.833,10.583,10.833,150760
2010-10-21,1287619200,10.5,10.833,10.5,10.5,68500
2010-10-22,1287705600,10.0,10.5,10.0,10.25,55760
2010-10-25,1287964800,10.25,10.75,10.0,10.583,204560
2010-10-26,1288051200,10.75,11.083,10.083,10.833,110830
2010-10-27,1288137600,11.083,11.25,10.333,10.833,158410
2010-10-28,1288224000,10.833,11.083,10.417,11.083,110150
2010-10-29,1288310400,10.917,11.25,10.833,11.083,313400
2010-11-01,1288569600,11.0,11.0,10.75,10.75,20610
2010-11-02,1288656000,10.583,10.75,10.333,10.667,7310
2010-11-03,1288742400,10.5,10.5,10.25,10.25,35420
2010-11-04,1288828800,10.417,10.75,10.417,10.667,69080
2010-11-05,1288915200,10.583,10.667,10.583,10.583,32860
2010-11-08,1289174400,10.417,10.75,10.167,10.167,185430
2010-11-09,1289260800,10.5,10.5,10.0,10.417,80710
2010-11-10,1289347200,10.583,10.583,10.25,10.417,60950
2010-11-11,1289433600,10.333,10.583,10.25,10.25,11240
2010-11-12,1289520000,10.333,10.333,9.75,9.833,23440
2010-11-15,1289779200,9.917,9.917,9.5,9.5,6850
2010-11-16,1289865600,9.167,9.75,9.167,9.5,13820
2010-11-17,1289952000,9.333,9.667,9.167,9.167,31090
2010-11-18,1290038400,9.5,9.583,9.0,9.5,49370
2010-11-19,1290124800,9.75,9.75,9.5,9.583,38000
2010-11-22,1290384000,9.167,9.667,9.167,9.333,2660
2010-11-23,1290470400,9.5,9.5,9.333,9.333,21800
2010-11-24,1290556800,9.5,9.5,9.333,9.333,31040
2010-11-25,1290643200,9.583,9.583,9.417,9.583,10650
2010-11-26,1290729600,9.583,9.583,9.25,9.25,33200
2010-11-29,1290988800,9.417,9.5,9.167,9.5,52400
2010-11-30,1291075200,9.833,9.917,9.583,9.833,52640
2010-12-01,1291161600,9.833,9.833,9.583,9.833,5550
2010-12-02,1291248000,9.833,10.25,9.75,10.25,105590
2010-12-03,1291334400,10.75,10.75,10.75,10.75,656430
2010-12-06,1291593600,11.25,11.25,11.25,11.25,534050
2010-12-07,1291680000,11.75,11.75,11.667,11.75,737220
2010-12-08,1291766400,11.25,12.0,11.167,11.167,201790
2010-12-09,1291852800,10.667,11.25,10.667,10.667,416880
2010-12-10,1291939200,11.0,11.167,10.5,11.167,423110
2010-12-13,1292198400,11.583,11.667,11.083,11.083,552920
2010-12-14,1292284800,10.75,11.0,10.583,10.583,307740
2010-12-15,1292371200,10.417,10.583,10.083,10.083,285400
2010-12-16,1292457600,9.667,10.167,9.667,9.667,267250
2010-12-17,1292544000,10.083,10.083,9.667,10.083,299590
2010-12-20,1292803200,10.417,10.5,10.167,10.167,307670
2010-12-21,1292889600,10.0,10.167,9.667,10.083,171440
2010-12-22,1292976000,10.25,10.25,9.833,9.833,55440
2010-12-23,1293062400,9.667,9.75,9.5,9.5,294140
2010-12-24,1293148800,9.417,9.583,9.25,9.25,89100
2010-12-27,1293408000,9.25,9.417,9.167,9.333,64690
2010-12-28,1293494400,9.583,9.75,9.333,9.75,129580
2010-12-29,1293580800,9.833,10.0,9.5,9.5,127970
2010-12-30,1293667200,9.417,9.583,9.25,9.25,95150
2010-12-31,1293753600,9.333,9.667,9.333,9.667,148900
2011-01-04,1294099200,10.083,10.083,10.0,10.083,290230
2011-01-05,1294185600,10.417,10.417,10.0,10.0,536260
2011-01-06,1294272000,9.833,10.0,9.667,9.833,64120
2011-01-07,1294358400,9.75,9.917,9.667,9.667,132530
2011-01-10,1294617600,9.583,9.667,9.417,9.5,164860
2011-01-11,1294704000,9.583,9.583,9.25,9.25,169370
2011-01-12,1294790400,9.333,9.583,9.333,9.417,133160
2011-01-13,1294876800,9.667,9.75,9.417,9.667,127430
2011-01-14,1294963200,9.833,9.833,9.5,9.75,80350
2011-01-17,1295222400,9.75,9.833,9.583,9.583,213100
2011-01-18,1295308800,9.667,9.667,9.417,9.417,84570
2011-01-19,1295395200,9.417,9.667,9.417,9.583,92340
2011-01-20,1295481600,9.5,9.667,9.417,9.417,23330
2011-01-21,1295568000,9.417,9.583,9.333,9.333,150280
2011-01-24,1295827200,9.417,9.417,9.167,9.167,171310
2011-01-25,1295913600,9.167,9.25,9.0,9.0,79230
2011-01-26,1296000000,9.25,9.25,9.0,9.25,22280
2011-01-27,1296086400,9.25,9.417,9.25,9.417,208120
2011-01-28,1296172800,9.167,9.333,9.0,9.0,375400
2011-02-08,1297123200,9.083,9.167,9.0,9.0,239870
2011-02-09,1297209600,9.0,9.083,8.833,9.0,57270
2011-02-10,1297296000,8.917,8.917,8.833,8.833,47820
2011-02-11,1297382400,8.833,8.917,8.667,8.75,87950
2011-02-14,1297641600,8.667,8.833,8.583,8.583,67510
2011-02-15,1297728000,8.583,8.667,8.417,8.5,44190
2011-02-16,1297814400,8.5,8.5,8.25,8.333,101020
2011-02-17,1297900800,8.333,8.333,8.0,8.083,106450
2011-02-18,1297987200,8.0,8.25,7.917,7.917,93490
2011-02-21,1298246400,7.667,7.667,7.583,7.583,64570
2011-02-22,1298332800,7.25,7.333,7.25,7.25,208310
2011-02-23,1298419200,7.333,7.5,7.167,7.25,199640
2011-02-24,1298505600,7.083,7.25,6.917,7.25,142950
2011-02-25,1298592000,7.333,7.333,7.167,7.333,97150
2011-02-28,1298851200,7.167,7.417,7.083,7.083,63180
2011-03-01,1298937600,7.083,7.167,6.75,7.083,153750
2011-03-02,1299024000,7.0,7.0,6.75,6.75,219950
2011-03-03,1299110400,6.5,6.667,6.417,6.417,141830
2011-03-04,1299196800,6.417,6.5,6.25,6.417,64470
2011-03-07,1299456000,6.417,6.417,6.25,6.417,85980
2011-03-08,1299542400,6.333,6.5,6.167,6.167,74860
2011-03-09,1299628800,6.0,6.0,5.917,5.917,121890
2011-03-10,1299715200,6.167,6.167,6.167,6.167,57960
2011-03-11,1299801600,6.417,6.417,6.417,6.417,30880
2011-03-14,1300060800,6.667,6.667,6.333,6.333,177710
2011-03-15,1300147200,6.25,6.5,6.25,6.417,39820
2011-03-16,1300233600,6.333,6.5,6.25,6.417,53630
2011-03-17,1300320000,6.333,6.5,6.25,6.333,44640
2011-03-18,1300406400,6.417,6.583,6.25,6.583,100400
2011-03-21,1300665600,6.667,6.75,6.583,6.667,103660
2011-03-22,1300752000,6.667,6.667,6.417,6.417,93580
2011-03-23,1300838400,6.5,6.5,6.333,6.417,34400
2011-03-24,1300924800,6.5,6.5,6.333,6.333,53970
2011-03-25,1301011200,6.417,6.417,6.167,6.167,77350
2011-03-28,1301270400,6.333,6.417,6.333,6.417,195490
2011-03-29,1301356800,6.417,6.5,6.333,6.333,74770
2011-03-30,1301443200,6.167,6.333,6.167,6.25,168230
2011-03-31,1301529600,6.333,6.333,6.25,6.25,54180
2011-04-01,1301616000,6.333,6.417,6.25,6.25,41350
2011-04-04,1301875200,6.333,6.333,6.25,6.25,56800
2011-04-05,1301961600,6.333,6.333,6.167,6.333,39670
2011-04-06,1302048000,6.417,6.5,6.417,6.5,87850
2011-04-07,1302134400,6.5,6.583,6.417,6.5,116810
2011-04-08,1302220800,6.5,6.5,6.417,6.5,26680
2011-04-13,1302652800,6.5,6.5,6.333,6.417,20970
2011-04-14,1302739200,6.417,6.417,6.25,6.25,17770
2011-04-15,1302825600,6.25,6.333,6.083,6.25,12990
2011-04-18,1303084800,6.25,6.25,6.0,6.083,7532
2011-04-19,1303171200,6.25,6.25,5.833,5.833,37530
2011-04-20,1303257600,5.917,5.917,5.833,5.833,4650
2011-04-21,1303344000,5.667,5.833,5.667,5.75,19960
2011-04-22,1303430400,5.667,5.667,5.5,5.583,62400
2011-04-25,1303689600,5.667,5.75,5.667,5.667,9400
2011-04-26,1303776000,5.833,5.833,5.417,5.417,30210
2011-04-27,1303862400,5.667,5.667,5.25,5.417,34040
2011-04-28,1303948800,5.5,5.5,5.167,5.167,49970
2011-04-29,1304035200,5.0,5.25,5.0,5.25,28930
2011-05-04,1304467200,5.417,5.417,5.083,5.333,23260
2011-05-05,1304553600,5.333,5.5,5.167,5.5,59130
2011-05-06,1304640000,5.333,5.667,5.333,5.667,44930
2011-05-09,1304899200,5.583,5.833,5.5,5.75,142730
2011-05-10,1304985600,5.75,5.833,5.583,5.583,112090
2011-05-11,1305072000,5.583,5.583,5.333,5.583,87460
2011-05-12,1305158400,5.583,5.583,5.417,5.583,84010
2011-05-13,1305244800,5.583,5.583,5.417,5.5,57610
2011-05-16,1305504000,5.417,5.5,5.25,5.333,31940
2011-05-17,1305590400,5.25,5.25,5.083,5.083,107830
2011-05-18,1305676800,5.0,5.0,4.833,4.833,123030
2011-05-19,1305763200,4.833,5.0,4.75,4.833,118380
2011-05-20,1305849600,4.583,4.667,4.5,4.5,236630
2011-05-23,1306108800,4.583,4.583,4.333,4.333,83970
2011-05-24,1306195200,4.333,4.333,4.167,4.167,45470
2011-05-25,1306281600,4.083,4.083,4.0,4.0,112740
2011-05-26,1306368000,3.833,4.083,3.833,4.083,273650
2011-05-27,1306454400,4.167,4.167,3.917,4.083,131040
2011-05-30,1306713600,4.083,4.083,3.917,3.917,92780
2011-05-31,1306800000,3.917,3.917,3.75,3.75,209110
