symbol,first,last,change,change_percentage
ADP,1.48,1.98,0.34,34
SDV,3.36,4.38,0.3,30
TGP,1.27,1.55,0.22,22
SPC,10.46,12.52,0.2,20
DBM,12.11,14.59,0.2,20
NOS,2.2,2.6,0.18,18
KST,0.9,1.04,0.16,16
VBH,15.38,17.49,0.14,14
APP,6.88,7.87,0.14,14
VES,2.4,2.7,0.13,13
SJS,26.67,30.18,0.13,13
SCR,5.47,6.17,0.13,13
VDL,6.85,7.66,0.12,12
TIS,5.8,6.5,0.12,12
SMB,3.63,4.06,0.12,12
SGS,1.41,1.58,0.12,12
CAN,17.46,19.61,0.12,12
HBC,2.95,3.26,0.11,11
DRL,6.83,7.57,0.11,11
CKV,3.82,4.25,0.11,11
ADC,1.65,1.83,0.11,11
WSB,7.53,8.29,0.1,10
FBA,3.1,3.4,0.1,10
CYC,2.1,2.3,0.1,10
CTA,5.9,6.48,0.1,10
YBC,11.7,12.8,0.09,9
VIE,5.4,5.9,0.09,9
VGP,7.09,7.72,0.09,9
VCM,3.72,4.05,0.09,9
TV3,2.76,3.02,0.09,9
TLG,2.97,3.25,0.09,9
NHA,1.13,1.23,0.09,9
LGC,5.35,5.84,0.09,9
ECI,3.52,3.85,0.09,9
DL1,4.22,4.6,0.09,9
SHS,1.88,2.03,0.08,8
S55,5.03,5.45,0.08,8
PHS,3.27,3.53,0.08,8
LAF,13.1,14.1,0.08,8
HDA,1.81,1.95,0.08,8
HAI,5.66,6.13,0.08,8
GTH,5.28,5.68,0.08,8
VNS,5.95,6.35,0.07,7
VMC,4.18,4.47,0.07,7
VC2,4.13,4.4,0.07,7
SGH,13.11,14.02,0.07,7
SDG,8.17,8.72,0.07,7
PIT,6.67,7.17,0.07,7
OPC,5.11,5.46,0.07,7
HGM,21.11,22.52,0.07,7
HAP,2.31,2.47,0.07,7
CTX,3.96,4.22,0.07,7
COM,12.37,13.26,0.07,7
AMC,5.39,5.77,0.07,7
VC3,1.72,1.83,0.06,6
TPC,4.16,4.39,0.06,6
TKC,2.6,2.76,0.06,6
SSG,4.9,5.2,0.06,6
SDY,3.5,3.7,0.06,6
SCO,6.8,7.2,0.06,6
LBM,2.12,2.24,0.06,6
LBE,2.09,2.21,0.06,6
KTT,3.6,3.8,0.06,6
HSG,2.14,2.27,0.06,6
GIL,7.52,7.94,0.06,6
DTC,7.72,8.18,0.06,6
BTW,7.86,8.3,0.06,6
VKC,3.1,3.26,0.05,5
PMC,9.06,9.49,0.05,5
NVT,4.2,4.4,0.05,5
MHL,4.57,4.78,0.05,5
ITD,3.16,3.31,0.05,5
HHS,3.98,4.18,0.05,5
HAT,11.02,11.54,0.05,5
DNC,1.2,1.26,0.05,5
DBC,4.1,4.3,0.05,5
CNT,9.4,9.9,0.05,5
CLW,6.42,6.76,0.05,5
BKC,12.9,13.6,0.05,5
BCC,3.86,4.05,0.05,5
APS,3.91,4.1,0.05,5
VLA,2.53,2.64,0.04,4
VIR,7.73,8.07,0.04,4
VC1,4.63,4.81,0.04,4
UDJ,2.98,3.1,0.04,4
SGD,2.79,2.91,0.04,4
SD8,5.4,5.6,0.04,4
QTC,3.5,3.63,0.04,4
PVI,9.56,9.9,0.04,4
PIV,5.61,5.85,0.04,4
PDR,3.29,3.41,0.04,4
NT2,1.84,1.92,0.04,4
NBB,12.26,12.77,0.04,4
LUT,8.2,8.5,0.04,4
ICG,5.91,6.14,0.04,4
HVG,11.09,11.51,0.04,4
BED,4.03,4.2,0.04,4
VFC,5.25,5.39,0.03,3
TNC,8.92,9.21,0.03,3
TMP,4.33,4.44,0.03,3
TJC,2.21,2.27,0.03,3
SSC,20.96,21.6,0.03,3
SRF,2.61,2.68,0.03,3
PVV,6.7,6.9,0.03,3
PPC,4.03,4.14,0.03,3
MEC,5.53,5.69,0.03,3
LHG,5.97,6.17,0.03,3
HOM,5.49,5.63,0.03,3
HAX,1.12,1.15,0.03,3
EFI,6.83,7.01,0.03,3
DTT,4.92,5.05,0.03,3
DPM,11.28,11.58,0.03,3
DMC,9.33,9.63,0.03,3
CVT,2.0,2.06,0.03,3
CMT,7.5,7.7,0.03,3
CMC,6.3,6.5,0.03,3
CLC,3.44,3.55,0.03,3
BSC,5.57,5.71,0.03,3
B82,4.82,4.95,0.03,3
VXB,4.33,4.42,0.02,2
VNR,4.32,4.39,0.02,2
VNF,8.53,8.66,0.02,2
VFG,6.5,6.63,0.02,2
VCG,7.23,7.36,0.02,2
V15,5.2,5.3,0.02,2
TXM,3.4,3.48,0.02,2
TRC,19.66,20.09,0.02,2
TBX,11.25,11.53,0.02,2
STB,16.99,17.33,0.02,2
SRA,1.17,1.19,0.02,2
SCC,4.3,4.4,0.02,2
SC5,7.58,7.71,0.02,2
RAL,12.92,13.22,0.02,2
PPE,5.4,5.5,0.02,2
PLC,6.19,6.29,0.02,2
NST,6.77,6.88,0.02,2
MDG,3.22,3.27,0.02,2
LM7,4.52,4.61,0.02,2
LIX,4.38,4.46,0.02,2
GTA,3.65,3.74,0.02,2
GMD,9.26,9.44,0.02,2
FDC,14.8,15.1,0.02,2
DC2,5.6,5.71,0.02,2
CLG,10.57,10.83,0.02,2
API,1.88,1.92,0.02,2
APG,2.3,2.35,0.02,2
VSH,7.61,7.67,0.01,1
