symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
MGC,2016,6,23,2,25,4,Thursday,2016-06-23,5.61,5.61,5.61,5.61,2100.0,1466640000.0,SIDEWAY
MGC,2021,6,28,2,26,1,Monday,2021-06-28,5.3,5.3,5.3,5.3,700.0,1624838400.0,SIDEWAY
MGC,2021,7,1,3,26,4,Thursday,2021-07-01,4.52,4.52,4.52,4.52,300.0,1625097600.0,SIDEWAY
MGC,2021,7,2,3,26,5,Friday,2021-07-02,3.93,3.93,3.93,3.93,400.0,1625184000.0,SIDEWAY
MGC,2021,7,5,3,27,1,Monday,2021-07-05,3.44,3.44,3.44,3.44,100.0,1625443200.0,SIDEWAY
MGC,2021,7,7,3,27,3,Wednesday,2021-07-07,3.14,3.14,3.14,3.14,600.0,1625616000.0,SIDEWAY
MGC,2021,7,8,3,27,4,Thursday,2021-07-08,2.94,2.94,2.94,2.94,100.0,1625702400.0,SIDEWAY
MGC,2021,7,13,3,28,2,Tuesday,2021-07-13,2.94,2.94,2.94,2.94,100.0,1626134400.0,SIDEWAY
MGC,2021,7,16,3,28,5,Friday,2021-07-16,3.34,3.34,3.34,3.34,100.0,1626393600.0,SIDEWAY
MGC,2021,7,22,3,29,4,Thursday,2021-07-22,3.83,3.83,3.83,3.83,100.0,1626912000.0,SIDEWAY
MGC,2021,7,23,3,29,5,Friday,2021-07-23,4.22,4.22,4.22,4.22,100.0,1626998400.0,SIDEWAY
MGC,2021,8,10,3,32,2,Tuesday,2021-08-10,4.81,4.81,4.81,4.81,100.0,1628553600.0,SIDEWAY
MGC,2021,8,11,3,32,3,Wednesday,2021-08-11,4.12,4.42,4.12,4.42,200.0,1628640000.0,UPTREND
MGC,2021,8,12,3,32,4,Thursday,2021-08-12,3.73,3.73,3.73,3.73,100.0,1628726400.0,SIDEWAY
MGC,2021,8,13,3,32,5,Friday,2021-08-13,4.22,4.22,4.22,4.22,100.0,1628812800.0,SIDEWAY
MGC,2021,8,16,3,33,1,Monday,2021-08-16,4.71,4.71,4.71,4.71,100.0,1629072000.0,SIDEWAY
MGC,2021,8,17,3,33,2,Tuesday,2021-08-17,5.3,5.3,5.3,5.3,100.0,1629158400.0,SIDEWAY
MGC,2021,8,18,3,33,3,Wednesday,2021-08-18,4.52,6.09,4.52,6.09,1800.0,1629244800.0,UPTREND
MGC,2021,8,19,3,33,4,Thursday,2021-08-19,6.48,6.48,6.48,6.48,100.0,1629331200.0,SIDEWAY
MGC,2021,8,20,3,33,5,Friday,2021-08-20,7.36,7.36,7.36,7.36,100.0,1629417600.0,SIDEWAY
MGC,2021,8,23,3,34,1,Monday,2021-08-23,8.44,8.44,6.28,8.44,1300.0,1629676800.0,SIDEWAY
MGC,2021,8,24,3,34,2,Tuesday,2021-08-24,8.35,8.35,8.35,8.35,100.0,1629763200.0,SIDEWAY
MGC,2021,8,25,3,34,3,Wednesday,2021-08-25,9.52,9.52,9.52,9.52,100.0,1629849600.0,SIDEWAY
MGC,2021,8,26,3,34,4,Thursday,2021-08-26,10.9,10.9,10.9,10.9,300.0,1629936000.0,SIDEWAY
MGC,2021,8,27,3,34,5,Friday,2021-08-27,12.47,12.47,12.47,12.47,2400.0,1630022400.0,SIDEWAY
MGC,2021,8,30,3,35,1,Monday,2021-08-30,14.33,14.33,10.6,10.8,29900.0,1630281600.0,DOWNTREND
MGC,2021,8,31,3,35,2,Tuesday,2021-08-31,10.41,11.78,10.41,10.41,13600.0,1630368000.0,SIDEWAY
MGC,2021,9,1,3,35,3,Wednesday,2021-09-01,8.93,8.93,8.93,8.93,18800.0,1630454400.0,SIDEWAY
MGC,2021,9,6,3,36,1,Monday,2021-09-06,8.93,9.82,7.66,9.62,32300.0,1630886400.0,UPTREND
MGC,2021,9,7,3,36,2,Tuesday,2021-09-07,7.36,8.93,7.07,7.95,3800.0,1630972800.0,UPTREND
MGC,2021,9,8,3,36,3,Wednesday,2021-09-08,7.17,8.74,7.07,8.74,11200.0,1631059200.0,UPTREND
MGC,2021,9,9,3,36,4,Thursday,2021-09-09,7.85,8.25,7.26,8.25,2800.0,1631145600.0,UPTREND
