symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
SHS,2009,6,25,2,26,4,Thursday,2009-06-25,5.67,6.32,5.29,5.91,1828600.0,1245888000.0,UPTREND
SHS,2009,6,26,2,26,5,Friday,2009-06-26,6.1,6.17,5.85,5.85,1163400.0,1245974400.0,DOWNTREND
SHS,2009,6,29,2,27,1,Monday,2009-06-29,5.94,6.16,5.85,5.92,1534300.0,1246233600.0,DOWNTREND
SHS,2009,6,30,2,27,2,Tuesday,2009-06-30,5.95,5.98,5.54,5.54,867200.0,1246320000.0,DOWNTREND
SHS,2009,7,1,3,27,3,Wednesday,2009-07-01,5.36,5.41,5.36,5.36,1488400.0,1246406400.0,SIDEWAY
SHS,2009,7,2,3,27,4,Thursday,2009-07-02,5.0,5.44,5.0,5.14,1581200.0,1246492800.0,UPTREND
SHS,2009,7,3,3,27,5,Friday,2009-07-03,5.0,5.13,4.78,5.1,901100.0,1246579200.0,UPTREND
SHS,2009,7,6,3,28,1,Monday,2009-07-06,5.05,5.39,5.05,5.39,1293600.0,1246838400.0,UPTREND
SHS,2009,7,7,3,28,2,Tuesday,2009-07-07,5.66,5.66,5.32,5.44,594100.0,1246924800.0,DOWNTREND
SHS,2009,7,8,3,28,3,Wednesday,2009-07-08,5.33,5.44,5.14,5.26,197000.0,1247011200.0,DOWNTREND
SHS,2009,7,9,3,28,4,Thursday,2009-07-09,5.29,5.33,5.16,5.16,410500.0,1247097600.0,DOWNTREND
SHS,2009,7,10,3,28,5,Friday,2009-07-10,5.28,5.64,5.28,5.64,3845100.0,1247184000.0,UPTREND
SHS,2009,7,13,3,29,1,Monday,2009-07-13,5.58,5.8,5.36,5.51,591400.0,1247443200.0,DOWNTREND
SHS,2009,7,14,3,29,2,Tuesday,2009-07-14,5.66,5.69,5.2,5.39,557500.0,1247529600.0,DOWNTREND
SHS,2009,7,15,3,29,3,Wednesday,2009-07-15,5.66,5.66,5.23,5.29,605600.0,1247616000.0,DOWNTREND
SHS,2009,7,16,3,29,4,Thursday,2009-07-16,5.64,5.66,5.23,5.35,392400.0,1247702400.0,DOWNTREND
