symbol,year,month,date,quarter,week,weekday_index,weekday,full_date,open,high,low,close,volume,timestamp,trend
VLA,2010,8,4,3,31,3,Wednesday,2010-08-04,3.77,4.74,3.6,3.79,42900.0,1280880000.0,UPTREND
VLA,2010,8,5,3,31,4,Thursday,2010-08-05,3.53,3.53,3.53,3.53,10500.0,1280966400.0,SIDEWAY
VLA,2010,8,6,3,31,5,Friday,2010-08-06,3.28,3.53,3.28,3.53,13100.0,1281052800.0,UPTREND
VLA,2010,8,9,3,32,1,Monday,2010-08-09,3.22,3.22,3.22,3.22,600.0,1281312000.0,SIDEWAY
VLA,2010,8,10,3,32,2,Tuesday,2010-08-10,3.02,3.41,3.02,3.22,7200.0,1281398400.0,UPTREND
VLA,2010,8,11,3,32,3,Wednesday,2010-08-11,3.22,3.38,3.22,3.22,6700.0,1281484800.0,SIDEWAY
VLA,2010,8,12,3,32,4,Thursday,2010-08-12,3.02,3.02,3.02,3.02,3000.0,1281571200.0,SIDEWAY
VLA,2010,8,13,3,32,5,Friday,2010-08-13,3.22,3.22,2.88,2.88,9000.0,1281657600.0,DOWNTREND
VLA,2010,8,16,3,33,1,Monday,2010-08-16,3.11,3.13,3.09,3.13,20300.0,1281916800.0,UPTREND
VLA,2010,8,17,3,33,2,Tuesday,2010-08-17,3.28,3.28,3.28,3.28,200.0,1282003200.0,SIDEWAY
VLA,2010,8,18,3,33,3,Wednesday,2010-08-18,3.41,3.41,3.21,3.21,1600.0,1282089600.0,DOWNTREND
VLA,2010,8,19,3,33,4,Thursday,2010-08-19,3.43,3.43,3.02,3.02,3900.0,1282176000.0,DOWNTREND
VLA,2010,8,20,3,33,5,Friday,2010-08-20,3.19,3.19,3.02,3.02,11500.0,1282262400.0,DOWNTREND
VLA,2010,8,23,3,34,1,Monday,2010-08-23,3.22,3.22,3.22,3.22,1300.0,1282521600.0,SIDEWAY
VLA,2010,8,24,3,34,2,Tuesday,2010-08-24,3.22,3.22,3.21,3.21,5400.0,1282608000.0,DOWNTREND
VLA,2010,8,25,3,34,3,Wednesday,2010-08-25,3.02,3.03,3.02,3.03,2000.0,1282694400.0,UPTREND
VLA,2010,8,26,3,34,4,Thursday,2010-08-26,2.83,2.83,2.83,2.83,400.0,1282780800.0,SIDEWAY
VLA,2010,8,30,3,35,1,Monday,2010-08-30,2.9,2.9,2.64,2.64,7300.0,1283126400.0,DOWNTREND
VLA,2010,8,31,3,35,2,Tuesday,2010-08-31,2.85,2.85,2.58,2.85,2600.0,1283212800.0,SIDEWAY
VLA,2010,9,1,3,35,3,Wednesday,2010-09-01,2.83,2.86,2.83,2.86,1300.0,1283299200.0,UPTREND
VLA,2010,9,6,3,36,1,Monday,2010-09-06,3.03,3.03,2.94,2.94,1000.0,1283731200.0,DOWNTREND
VLA,2010,9,7,3,36,2,Tuesday,2010-09-07,3.11,3.11,3.11,3.11,100.0,1283817600.0,SIDEWAY
VLA,2010,9,8,3,36,3,Wednesday,2010-09-08,3.03,3.03,3.03,3.03,600.0,1283904000.0,SIDEWAY
VLA,2010,9,9,3,36,4,Thursday,2010-09-09,2.83,2.83,2.83,2.83,6700.0,1283990400.0,SIDEWAY
VLA,2010,9,10,3,36,5,Friday,2010-09-10,2.65,2.65,2.64,2.64,11100.0,1284076800.0,DOWNTREND
VLA,2010,9,13,3,37,1,Monday,2010-09-13,2.65,2.65,2.48,2.5,24500.0,1284336000.0,DOWNTREND
VLA,2010,9,14,3,37,2,Tuesday,2010-09-14,2.37,2.62,2.37,2.6,10700.0,1284422400.0,UPTREND
VLA,2010,9,15,3,37,3,Wednesday,2010-09-15,2.69,2.75,2.52,2.75,7600.0,1284508800.0,UPTREND
VLA,2010,9,16,3,37,4,Thursday,2010-09-16,2.81,2.81,2.81,2.81,5100.0,1284595200.0,SIDEWAY
VLA,2010,9,17,3,37,5,Friday,2010-09-17,2.85,2.85,2.81,2.81,10300.0,1284681600.0,DOWNTREND
VLA,2010,9,20,3,38,1,Monday,2010-09-20,2.85,2.85,2.69,2.69,2700.0,1284940800.0,DOWNTREND
VLA,2010,9,21,3,38,2,Tuesday,2010-09-21,2.71,2.71,2.65,2.65,3100.0,1285027200.0,DOWNTREND
VLA,2010,9,22,3,38,3,Wednesday,2010-09-22,2.5,2.81,2.5,2.71,9100.0,1285113600.0,UPTREND
VLA,2010,9,23,3,38,4,Thursday,2010-09-23,2.98,2.98,2.75,2.75,7600.0,1285200000.0,DOWNTREND
VLA,2010,9,24,3,38,5,Friday,2010-09-24,2.85,2.85,2.65,2.67,400.0,1285286400.0,DOWNTREND
VLA,2010,9,27,3,39,1,Monday,2010-09-27,2.85,2.85,2.65,2.65,5100.0,1285545600.0,DOWNTREND
VLA,2010,9,28,3,39,2,Tuesday,2010-09-28,2.83,2.83,2.71,2.71,500.0,1285632000.0,DOWNTREND
VLA,2010,9,29,3,39,3,Wednesday,2010-09-29,2.73,2.73,2.73,2.73,300.0,1285718400.0,SIDEWAY
VLA,2010,10,1,4,39,5,Friday,2010-10-01,2.54,2.54,2.54,2.54,1600.0,1285891200.0,SIDEWAY
VLA,2010,10,6,4,40,3,Wednesday,2010-10-06,2.47,2.67,2.47,2.67,1900.0,1286323200.0,UPTREND
VLA,2010,10,8,4,40,5,Friday,2010-10-08,2.54,2.54,2.54,2.54,400.0,1286496000.0,SIDEWAY
VLA,2010,10,11,4,41,1,Monday,2010-10-11,2.65,2.65,2.65,2.65,100.0,1286755200.0,SIDEWAY
VLA,2010,10,12,4,41,2,Tuesday,2010-10-12,2.77,2.77,2.77,2.77,100.0,1286841600.0,SIDEWAY
VLA,2010,10,14,4,41,4,Thursday,2010-10-14,2.67,2.67,2.65,2.65,500.0,1287014400.0,DOWNTREND
