id,name,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,total_base_stat,is_legendary,generation
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
0,,,,0,0,0,0,0,0,0,False,
1,bulbasaur,grass,poison,45,49,49,65,65,45,318,False,1
2,ivysaur,grass,poison,60,62,63,80,80,60,405,False,1
3,venusaur,grass,poison,80,82,83,100,100,80,525,False,1
4,charmander,fire,,39,52,43,60,50,65,309,False,1
5,charmeleon,fire,,58,64,58,80,65,80,405,False,1
6,charizard,fire,flying,78,84,78,109,85,100,534,False,1
7,squirtle,water,,44,48,65,50,64,43,314,False,1
8,wartortle,water,,59,63,80,65,80,58,405,False,1
9,blastoise,water,,79,83,100,85,105,78,530,False,1
10,caterpie,bug,,45,30,35,20,20,45,195,False,1
11,metapod,bug,,50,20,55,25,25,30,205,False,1
12,butterfree,bug,flying,60,45,50,90,80,70,395,False,1
13,weedle,bug,poison,40,35,30,20,20,50,195,False,1
14,kakuna,bug,poison,45,25,50,25,25,35,205,False,1
15,beedrill,bug,poison,65,90,40,45,80,75,395,False,1
16,pidgey,normal,flying,40,45,40,35,35,56,251,False,1
17,pidgeotto,normal,flying,63,60,55,50,50,71,349,False,1
18,pidgeot,normal,flying,83,80,75,70,70,101,479,False,1
19,rattata,normal,,30,56,35,25,35,72,253,False,1
20,raticate,normal,,55,81,60,50,70,97,413,False,1
21,spearow,normal,flying,40,60,30,31,31,70,262,False,1
22,fearow,normal,flying,65,90,65,61,61,100,442,False,1
23,ekans,poison,,35,60,44,40,54,55,288,False,1
24,arbok,poison,,60,95,69,65,79,80,448,False,1
25,pikachu,electric,,35,55,40,50,50,90,320,False,1
26,raichu,electric,,60,90,55,90,80,110,485,False,1
27,sandshrew,ground,,50,75,85,20,30,40,300,False,1
28,sandslash,ground,,75,100,110,45,55,65,450,False,1
29,nidoran-f,poison,,55,47,52,40,40,41,275,False,1
30,nidorina,poison,,70,62,67,55,55,56,365,False,1
31,nidoqueen,poison,ground,90,92,87,75,85,76,505,False,1
32,nidoran-m,poison,,46,57,40,40,40,50,273,False,1
33,nidorino,poison,,61,72,57,55,55,65,365,False,1
34,nidoking,poison,ground,81,102,77,85,75,85,505,False,1
35,clefairy,fairy,,70,45,48,60,65,35,323,False,1
36,clefable,fairy,,95,70,73,95,90,60,483,False,1
37,vulpix,fire,,38,41,40,50,65,65,299,False,1
38,ninetales,fire,,73,76,75,81,100,100,505,False,1
39,jigglypuff,normal,fairy,115,45,20,45,25,20,270,False,1
40,wigglytuff,normal,fairy,140,70,45,85,50,45,435,False,1
