number,name,full_name,age,party,state,birth_state,education,religion,religion_branch,number_of_terms,died_in_office,former_vice,former_governor,former_senator,former_speaker,former_house,former_secretary,age_at_start_of_presidency,age_at_end_of_presidency
1,George Washington,George Washington,67,Independent,Virginia,Virginia,none,Christian,Protestant,two_full_terms,none,none,none,none,none,none,none,57,65
2,John Adams,John Adams,90,Federalist,Massachusetts,Massachusetts,master,Christian,Nontrinitarian,one_full_term,none,George Washington,none,none,none,Massachusetts,none,61,65
3,Thomas Jefferson,Thomas Jefferson,83,Democratic-Republican,Virginia,Virginia,bachelor,none,none,two_full_terms,none,John Adams,Virginia,none,none,none,State,57,65
4,James Madison,James Madison,85,Democratic-Republican,Virginia,Virginia,bachelor,Christian,Protestant,two_full_terms,none,none,none,none,none,Virginia,State,57,65
5,James Monroe,James Monroe,73,Democratic-Republican,Virginia,Virginia,none,Christian,Protestant,two_full_terms,none,none,Virginia,Virginia,none,none,State,58,66
6,John Quincy Adams,John Quincy Adams,80,Democratic-Republican,Massachusetts,Massachusetts,master,Christian,Nontrinitarian,one_full_term,none,none,none,Massachusetts,none,Massachusetts,State,57,61
7,Andrew Jackson,Andrew Jackson,78,Democratic,Tennessee,South Carolina,none,Christian,Protestant,two_full_terms,none,none,none,Tennessee,none,Tennessee,none,61,69
8,Martin Van Buren,Martin Van Buren,79,Democratic,New York,New York,none,Christian,Protestant,one_full_term,none,Andrew Jackson	,"New York ",New York,none,none,State,54,58
9,William Henry Harrison,William Henry Harrison,68,Whig,Ohio,Virginia,none,Christian,Protestant,one_partial_term,natural_causes,none,none,Ohio,none,Ohio,none,68,68
10,John Tyler,John Tyler,71,Whig,Virginia,Virginia,bachelor,Christian,Protestant,one_partial_term,none,William Henry Harrison,Virginia,Virginia,none,Virginia,none,51,54
11,James K. Polk,James Knox Polk,53,Democratic,Tennessee,North Carolina,bachelor,Christian,Protestant,one_full_term,none,none,Tennessee,none,Tennessee,Tennessee,none,49,53
12,Zachary Taylor,Zachary Taylor,65,Whig,Kentucky,Virginia,none,Christian,Protestant,one_partial_term,natural_causes,none,none,none,none,none,none,64,65
13,Millard Fillmore,Millard Fillmore,74,Whig,New York,New York,none,Christian,Nontrinitarian,one_partial_term,none,Zachary Taylor,none,none,none,Millard Fillmore,none,50,53
14,Franklin Pierce,Franklin Pierce,64,Democratic,New Hampshire,New Hampshire,bachelor,Christian,Protestant,one_partial_term,none,none,none,New Hampshire,none,New Hampshire,none,48,52
15,James Buchanan,James Buchanan Jr.,77,Democratic,Pennsylvania,Pennsylvania,bachelor,Christian,Protestant,one_partial_term,none,none,none,Pennsylvania,none,Pennsylvania,State,65,69
